Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
11500,340.46413953355136,306.2748381942801
11600,342.3233678809928,308.5577859327082
11700,344.3855925362053,310.318120399278
11800,346.43009913263325,311.5525053850324
11900,348.24963473304064,313.0124772053734
12000,349.988526162741,314.50135189010865
12100,351.8949908145997,316.2082870412811
12200,353.53936019408394,317.95839125375596
12300,355.0381532747725,319.7540908212879
12400,356.5879420349698,321.06960116677425
12500,358.3462132572853,322.3031220113413
12600,360.49821173803707,324.1496803702581
12700,362.17058070586,325.63741315126015
12800,364.0302657574117,327.27133796257533
12900,365.45761033710954,329.46998249430493
13000,367.7226723777138,331.8461862973454
13100,369.4628423666734,333.65206251819643
13200,370.9479433389044,335.38919474659224
13300,372.8998628223507,337.10970230165265
13400,374.5003494604796,338.3626389292024
13500,375.6696934844801,339.81803102207857
13600,377.02240459493026,341.43958295312416
13700,378.65056304927396,343.3393847823118
13800,380.2137499852581,344.5861093783933
13900,381.83181727226946,345.9679687260282
14000,383.34572082329976,347.5812407264547
14100,385.0719330669691,349.3383560270109
14200,387.334361450871,351.1556047946065
14300,388.8681466650304,353.0218270961108
14400,390.87255317775885,354.73165522596975
14500,392.47828060249253,356.28487685884204
14600,394.2807682359231,357.8168775469477
14700,396.54546688619325,359.1660235999906
14800,398.0490588427515,360.69566258491346
14900,399.4965244799715,362.1451099136678
15000,401.50711175066385,364.0032077230966
15100,402.8398376632782,365.3729316548839
15200,404.90773261471037,367.1548592099072
15300,406.5369778101025,368.69764210112265
15400,408.17775050185753,369.93795192170467
15500,409.94458678963593,371.80364491386206
15600,411.2420785525828,373.3990771410266
15700,413.18608403999895,375.08715739458114
15800,414.54440817361984,377.0352915288561
15900,416.37258623630476,378.74448572605513
16000,418.1329448633418,380.27262607468685
16100,419.8615113024898,382.13114264830773
16200,421.4657485310072,383.6351671278888
16300,422.6132089885039,384.78719274995143
16400,424.482341233449,386.4502372787719
16500,426.44178956733424,387.7615722088645
16600,428.8586818450547,389.0835227001642
16700,430.1990663062188,390.37402598822246
16800,431.86198303482433,392.0597670483654
16900,433.42421727800485,393.3613851107362
17000,434.71295169212453,394.10441172901267
17100,436.3208061312168,395.4179225197869
17200,437.9988811489279,396.78552870689515
17300,439.17502526661895,398.1589527304012
17400,440.1130246121146,399.91271945161543
17500,442.1639211927997,401.46740081056083
17600,444.2643979351404,403.37142345277704
17700,446.2766674503817,405.0319355367071
17800,448.0980900998585,406.53086425919724
17900,449.401440739407,408.74119341487966
18000,450.58511765339347,410.25707833010904
18100,452.6058229391335,412.25692714683765
18200,454.59515916707204,414.12393953291894
18300,456.01942445762404,415.9323551868314
18400,457.24422629359077,417.57339749243965
18500,458.55028530995133,419.6679084133499
18600,460.2848563308406,421.4184015378172
18700,462.18801466696897,422.6176122484732
18800,463.42249694243566,424.3085845531356
18900,465.468349033915,425.7724743091708
19000,466.6993168076827,427.27341678113197
19100,468.36156517195786,428.7912195329724
19200,469.79577284102425,430.08441022643694
19300,471.2944852175063,431.96264013699965
19400,472.8584597845489,433.33711264586293
19500,474.6955416347879,434.4716947576877
19600,475.99745261061634,435.8420667166415
19700,477.7596534818942,436.99471478705425
19800,479.4386164574165,438.90177800070006
19900,480.8205206472455,440.3084414525218
20000,482.97675432833205,441.7062870218477
20100,484.34466780375107,443.03057993940627
20200,486.047637235419,444.02550463885757
20300,487.89001362906083,445.32453165759006
20400,489.43747738485416,447.09187058936897
20500,491.54153242420153,448.6912811651088
20600,493.3236170199978,449.9178685718786
20700,494.6924604459888,451.8171103877522
20800,496.1525672674973,453.347040408739
20900,498.403923385412,454.6647881303064
21000,499.65346646636715,455.8604850106828
21100,500.88260975615395,457.14578128693546
21200,502.285354511867,458.2934296581158
21300,503.69793235006983,459.93687623780045
21400,505.59296866234564,461.40592221555664
21500,506.6278680150889,462.7300502804093
21600,508.17231454832137,464.22361241934266
21700,509.36899969947245,465.8208578844331
21800,510.9947638013341,467.05037985437673
21900,512.4459544131344,467.7735925020121
22000,514.1404316896443,469.04957386269655
22100,515.1324875995704,470.4307521272618
22200,516.1022141528358,472.2657428413844
22300,517.6757738038189,473.7437298611032
22400,519.1135837348959,474.9728727301291
