Time(Iteration),UCBBandit
0,0.3836733016542193
100,40.68489478125513
200,78.21218265742506
300,113.87313976856913
400,148.36203835865405
500,181.79495729596817
600,214.04140445533162
700,245.25568415979814
800,275.74825005713217
900,305.1060853191875
1000,333.82965625538486
1100,361.3699232219342
1200,388.549798625224
1300,414.5662213759315
1400,440.6104835189656
1500,464.7686731920668
1600,488.45731677789774
1700,512.4897803443234
1800,535.8425014987083
1900,558.2129558637864
2000,579.9570290059919
2100,601.2447179507046
2200,621.5683880222691
2300,641.9503627800993
2400,661.9895577967193
2500,681.4686991692921
2600,699.68257036804
2700,718.1785297191052
2800,736.3565868684298
2900,753.8916430204692
3000,771.279311006583
3100,788.4019028711929
3200,804.3263510049503
3300,820.7106352863145
3400,836.4854532487409
3500,852.4094467969142
3600,866.9892275162563
3700,882.4643382180284
3800,896.6436624338583
3900,911.2632158405377
4000,925.1851161839124
4100,939.8166673037389
4200,953.5219102549905
4300,966.9881306819676
4400,981.0734032469078
4500,994.3579437565771
4600,1006.8795410271366
4700,1019.8367552380836
4800,1032.2347708990148
4900,1043.9449721726228
5000,1056.531590152754
5100,1068.6424146985662
5200,1079.9357949503117
5300,1091.3272895996572
5400,1102.6160242282645
5500,1113.1084206471346
5600,1123.4842442718978
5700,1134.773933757911
5800,1145.2316117590556
5900,1155.3656109168483
6000,1164.9505233356967
6100,1175.4309975742594
6200,1185.6847007459523
6300,1196.0666937911485
6400,1205.1665803380124
6500,1215.17048918012
6600,1224.293352141729
6700,1234.018188028756
6800,1243.1984906266794
6900,1252.306208492633
7000,1261.4111669936228
7100,1270.5348887921605
7200,1279.0640295815097
7300,1288.2250068520389
7400,1296.8492679009678
7500,1305.494894591868
7600,1313.5461826678732
7700,1321.4575882877657
7800,1330.460544173173
7900,1338.9243270212105
8000,1347.101481755893
8100,1355.0208472089823
8200,1363.0058202615132
8300,1371.2042277160351
8400,1378.4910859330198
8500,1386.505543456473
8600,1393.1434445001155
8700,1401.1362346145465
8800,1408.23818567986
8900,1415.440676488071
9000,1423.1703708008617
9100,1430.2081864222223
9200,1437.426334725232
9300,1444.3830959642978
9400,1451.8206784704078
9500,1458.7532568270972
9600,1465.287318657239
9700,1472.3411356089077
9800,1478.8178939815557
9900,1485.435272627354
10000,1491.3959252101051
10100,1497.7053318760538
10200,1504.0116226249297
10300,1510.2753911483185
10400,1516.023458296083
10500,1522.0167261068484
10600,1528.2058566089024
10700,1534.5936831933343
10800,1540.1821864947196
10900,1545.933092106522
11000,1551.8985781864383
11100,1557.8654485113889
11200,1563.167984928204
11300,1568.6694464034445
11400,1573.7235572831282
11500,1579.3887248014094
11600,1584.782085171099
11700,1590.2541236811362
11800,1595.7463232577873
11900,1601.3679904913033
12000,1606.4997834308542
12100,1611.2192356972826
12200,1616.1235228372393
12300,1620.7177382076939
12400,1626.6566778658937
12500,1632.0525373979988
12600,1636.6083762206347
12700,1641.6562593518545
12800,1647.230845522129
12900,1652.517224097944
13000,1657.3600659492465
13100,1662.2943043567516
13200,1667.2639868941424
13300,1671.9456252811476
13400,1676.6873175680873
13500,1681.447046623684
13600,1686.2535113307472
13700,1691.4470527073372
13800,1696.405296812422
13900,1700.9382371414213
14000,1705.3807327550082
14100,1709.2331242422392
14200,1713.504588609689
14300,1717.990016439437
14400,1722.153119145125
14500,1726.65661694166
14600,1730.941020162572
14700,1735.8045117725444
14800,1740.991883981512
14900,1745.5296269629143
15000,1749.9138572729378
15100,1754.8531383043494
15200,1759.0661471782391
15300,1763.1800821776505
15400,1767.6646062651234
15500,1772.284945225044
15600,1776.1559591872515
15700,1779.9731664209808
15800,1784.6980776257108
15900,1789.1020166971607
16000,1792.8467705234605
16100,1797.4267980887514
16200,1801.2366011851293
16300,1804.8619542339115
16400,1809.3413062222148
16500,1813.8379549877238
16600,1817.6080368368052
16700,1821.3651721497113
16800,1825.326896676966
16900,1829.0725286201723
17000,1833.245672322484
17100,1837.5176209785918
17200,1841.5202900177555
17300,1845.3621170188744
17400,1849.1731202535545
17500,1852.968360883401
17600,1856.7024298988458
17700,1860.132112614184
17800,1863.281380175129
17900,1867.004497446976
18000,1871.0267083894519
18100,1874.3873896508267
18200,1877.3877046434222
18300,1881.0479157959676
18400,1883.9937896283234
18500,1887.9042946770853
18600,1891.3765955878357
18700,1894.9145038879724
18800,1898.3262252559841
18900,1901.4245652770253
19000,1904.6950737669054
19100,1907.8867754581333
19200,1911.822130979074
19300,1916.2577885961884
19400,1919.073014516002
19500,1922.8740585643427
19600,1925.4857391795256
19700,1928.6558155006453
19800,1931.6289302690832
19900,1934.9315609060402
20000,1937.7689148062898
20100,1940.804424461571
20200,1943.6883397803194
20300,1947.0311935287202
20400,1950.2345089387134
20500,1953.4472767266827
20600,1955.936387459873
20700,1959.395354126625
20800,1962.3789349446154
20900,1964.8261433289958
21000,1968.0607620991577
21100,1970.650583551651
21200,1973.8735224574618
21300,1976.2777537022805
21400,1979.0960074692673
21500,1981.8723769995227
21600,1984.7207133642041
21700,1987.4190009211156
21800,1990.3781511117163
21900,1992.9321178258401
22000,1996.4375011180364
22100,1999.9997935518932
22200,2002.4528002849067
22300,2005.4622581357878
22400,2008.1579549876667
22500,2010.6675461575219
22600,2013.3647361117287
22700,2015.800983715686
22800,2018.419112658636
22900,2021.2923198900826
23000,2023.8135146868979
23100,2026.4568951305816
23200,2028.6924691650333
23300,2031.8828724802115
23400,2034.4204608497053
23500,2037.2958338730482
23600,2040.150482249419
23700,2042.9944767759032
23800,2045.2973048500457
23900,2048.0906792481737
24000,2050.567963236693
24100,2053.435905507739
24200,2056.1122481670873
24300,2058.7815282628403
24400,2061.538111663031
24500,2063.9267378460368
24600,2066.2342366426333
24700,2068.5559481115793
24800,2071.3532902741267
24900,2073.8909795977097
25000,2076.418839054332
25100,2078.5300414608187
25200,2080.806326178242
25300,2083.859404299055
25400,2086.8796004072733
25500,2089.0689514772753
25600,2091.2098558361727
25700,2093.667592623394
25800,2096.294610660264
25900,2098.263016154947
26000,2100.505541582119
26100,2103.1266966347002
26200,2105.6936785180205
26300,2107.9305357562757
26400,2109.936057676906
26500,2111.90533608803
26600,2113.7128443175106
26700,2116.2394147116456
26800,2118.5936816486005
26900,2120.6291446348378
27000,2122.6274484414666
27100,2125.0157982126757
27200,2127.143925012092
27300,2129.9214145650394
27400,2132.165395010545
27500,2134.615533469797
27600,2136.85567792214
27700,2138.8109910807825
27800,2140.66020369042
27900,2143.4686240271685
28000,2145.5258939957757
28100,2147.31027577174
28200,2149.4886755920365
28300,2151.7967436543486
28400,2154.2783818821404
28500,2156.4395722228037
28600,2158.7395303396943
28700,2160.8543364397074
28800,2163.1135446972903
28900,2165.4767694269167
29000,2167.373678119741
29100,2169.316101045098
29200,2171.172835215025
29300,2173.4349637658243
29400,2175.3934852073844
29500,2177.369362919134
29600,2179.113932519681
29700,2181.0444668540886
29800,2182.68009599619
29900,2185.0214340929806
30000,2187.10778884071
30100,2189.129796647805
30200,2191.032516355353
30300,2192.1936527012244
30400,2194.628955213572
30500,2197.168427896862
30600,2199.324562734858
30700,2201.2856454031667
30800,2203.425934407148
30900,2205.715733493717
31000,2207.687502576903
31100,2209.3717914352046
31200,2211.7147783881483
31300,2213.2989159211147
31400,2214.6724966209513
31500,2216.8287683435397
31600,2218.814126908663
31700,2220.7720461231384
31800,2222.7422203047386
31900,2224.482469192559
32000,2226.4408599239828
32100,2228.482909740973
32200,2230.0358509633033
32300,2231.973130127747
32400,2233.8894356447736
32500,2235.4567050860724
32600,2237.5486586767233
32700,2239.32393338615
32800,2241.058637507255
32900,2242.6700734149085
33000,2244.6383920002218
33100,2246.5841091915004
33200,2248.768508756851
33300,2251.176355677152
33400,2253.295887992985
33500,2254.96721330904
33600,2256.36886050598
33700,2257.7620952680754
33800,2259.6346341284725
33900,2261.4329224951116
34000,2262.831578543283
34100,2264.8221942332348
34200,2266.6014830929516
34300,2268.601356602336
34400,2270.2732791445637
34500,2271.916057476385
34600,2273.6181446465407
34700,2275.04205968779
34800,2276.7318994477137
34900,2278.267621184611
35000,2280.2901162869043
