Time(Iteration),ExplorethenCommit
0,0.2960342075084296
100,37.6369550515049
200,73.817379735016
300,110.19381038003078
400,147.4855431681058
500,184.91785773597036
600,222.37800318641408
700,258.83838731116657
800,277.751646669699
900,278.2478236214867
1000,278.6360041223376
1100,279.0121850175289
1200,279.3883659127202
1300,279.7645468079115
1400,280.14072770310275
1500,280.51690859829404
1600,280.8930894934853
1700,281.2692703886766
1800,281.6454512838679
1900,282.02163217905917
2000,282.39781307425045
2100,282.77399396944173
2200,283.150174864633
2300,283.5263557598243
2400,283.9025366550156
2500,284.27871755020686
2600,284.65489844539815
2700,285.03107934058943
2800,285.4072602357807
2900,285.783441130972
3000,286.1596220261633
3100,286.53580292135456
3200,286.91198381654584
3300,287.2881647117371
3400,287.6643456069284
3500,288.0405265021197
3600,288.416707397311
3700,288.79288829250225
3800,289.16906918769354
3900,289.5452500828848
4000,289.9214309780761
4100,290.2976118732674
4200,290.67379276845867
4300,291.04997366364995
4400,291.42615455884123
4500,291.8023354540325
4600,292.1785163492238
4700,292.5546972444151
4800,292.93087813960636
4900,293.30705903479765
5000,293.68323992998893
5100,294.0594208251802
5200,294.4356017203715
5300,294.8117826155628
5400,295.18796351075406
5500,295.56414440594534
5600,295.9403253011366
5700,296.3165061963279
5800,296.6926870915192
5900,297.0688679867105
6000,297.44504888190176
6100,297.82122977709304
6200,298.1974106722843
6300,298.5735915674756
6400,298.9497724626669
6500,299.32595335785817
6600,299.70213425304945
6700,300.07831514824073
6800,300.454496043432
6900,300.8306769386233
7000,301.2068578338146
7100,301.58303872900586
7200,301.95921962419715
7300,302.33540051938843
7400,302.7115814145797
7500,303.087762309771
7600,303.4639432049623
7700,303.84012410015356
7800,304.21630499534484
7900,304.5924858905361
8000,304.9686667857274
8100,305.3448476809187
8200,305.72102857611
8300,306.09720947130126
8400,306.47339036649254
8500,306.8495712616838
8600,307.2257521568751
8700,307.6019330520664
8800,307.97811394725767
8900,308.35429484244895
9000,308.73047573764023
9100,309.1066566328315
9200,309.4828375280228
9300,309.8590184232141
9400,310.23519931840536
9500,310.61138021359665
9600,310.98756110878793
9700,311.3637420039792
9800,311.7399228991705
9900,312.1161037943618
10000,312.49228468955306
10100,312.86846558474434
10200,313.2446464799356
10300,313.6208273751269
10400,313.9970082703182
10500,314.3731891655095
10600,314.74937006070076
10700,315.12555095589204
10800,315.5017318510833
10900,315.8779127462746
11000,316.2540936414659
11100,316.63027453665717
11200,317.00645543184845
11300,317.38263632703973
11400,317.758817222231
11500,318.1349981174223
11600,318.5111790126136
11700,318.88735990780486
11800,319.26354080299615
11900,319.63972169818743
12000,320.0159025933787
12100,320.39208348857
12200,320.7682643837613
12300,321.14444527895256
12400,321.52062617414384
12500,321.8968070693351
12600,322.2729879645264
12700,322.6491688597177
12800,323.025349754909
12900,323.40153065010026
13000,323.77771154529154
13100,324.1538924404828
13200,324.5300733356741
13300,324.9062542308654
13400,325.28243512605667
13500,325.65861602124795
13600,326.03479691643923
13700,326.4109778116305
13800,326.7871587068218
13900,327.1633396020131
14000,327.53952049720436
14100,327.91570139239565
14200,328.29188228758693
14300,328.6680631827782
14400,329.0442440779695
14500,329.4204249731608
14600,329.79660586835206
14700,330.17278676354334
14800,330.5489676587346
14900,330.9251485539259
15000,331.3013294491172
15100,331.6775103443085
15200,332.05369123949976
15300,332.42987213469104
15400,332.8060530298823
15500,333.1822339250736
15600,333.5584148202649
15700,333.93459571545617
15800,334.31077661064745
15900,334.68695750583873
16000,335.06313840103
16100,335.4393192962213
16200,335.8155001914126
16300,336.19168108660386
16400,336.56786198179515
16500,336.94404287698643
16600,337.3202237721777
16700,337.696404667369
16800,338.0725855625603
16900,338.44876645775156
17000,338.82494735294284
17100,339.2011282481341
17200,339.5773091433254
17300,339.9534900385167
17400,340.329670933708
17500,340.70585182889926
17600,341.08203272409054
17700,341.4582136192818
17800,341.8343945144731
17900,342.2105754096644
18000,342.58675630485567
18100,342.96293720004695
18200,343.33911809523823
18300,343.7152989904295
18400,344.0914798856208
18500,344.4676607808121
18600,344.84384167600336
18700,345.22002257119465
18800,345.59620346638593
18900,345.9723843615772
19000,346.3485652567685
19100,346.7247461519598
19200,347.10092704715106
19300,347.47710794234234
19400,347.8532888375336
19500,348.2294697327249
19600,348.6056506279162
19700,348.9818315231075
19800,349.35801241829876
19900,349.73419331349004
20000,350.1103742086813
20100,350.4865551038726
20200,350.8627359990639
20300,351.23891689425517
20400,351.61509778944645
20500,351.99127868463773
20600,352.367459579829
20700,352.7436404750203
20800,353.1198213702116
20900,353.49600226540286
