Time(Iteration),UCBBandit
0,0.5383728577870636
100,39.818772356452165
200,76.7924106556754
300,113.18361184678756
400,148.72464882935145
500,183.63972679710002
600,217.91591547939615
700,251.5663285649995
800,284.7065633363363
900,317.8949309919749
1000,349.99561277697666
1100,381.9206337731533
1200,413.56464656359094
1300,444.8847379513397
1400,475.69378366068133
1500,506.1141215919976
1600,535.9719048907531
1700,565.679342583719
1800,595.2327065135588
1900,624.1984555469072
2000,653.3361787429136
2100,682.200196361753
2200,710.116410011577
2300,738.3786393132493
2400,766.1993904489011
2500,793.5353227308849
2600,820.5061254219169
2700,847.1535776864663
2800,874.1843474626318
2900,900.5718858190473
3000,926.8643737017217
3100,952.6118187103024
3200,977.9652203561825
3300,1003.1933161763885
3400,1028.482769653809
3500,1053.683772555591
3600,1078.5522875526171
3700,1103.229955179609
3800,1127.167901910471
3900,1151.2384136341361
4000,1175.194473110221
4100,1198.529766875685
4200,1221.8570076894316
4300,1245.0658979048649
4400,1268.0508659961647
4500,1290.7589588992237
4600,1313.3878824121216
4700,1335.8891037202457
4800,1357.8579902487518
4900,1379.4689265943582
5000,1401.7141933681291
5100,1423.2868938634003
5200,1444.274692429203
5300,1465.7368609808416
5400,1487.082088889695
5500,1507.7401526577758
5600,1528.9132348986786
5700,1549.4078464600188
5800,1569.6701270218641
5900,1590.3971280677406
6000,1610.6732778270596
6100,1630.5804916862062
6200,1650.1352326844924
6300,1670.1019825429023
6400,1689.507289117412
6500,1708.4363620503682
6600,1727.7590694767823
6700,1747.025207595035
6800,1765.8010151638725
6900,1784.6253475898334
7000,1803.7060270689392
7100,1822.2449812276234
7200,1840.9995595031614
7300,1859.3297350632486
7400,1877.1236824664174
7500,1894.9823389439066
7600,1912.3761851581999
7700,1930.2029668623763
7800,1947.9510251375418
7900,1964.9235308006785
8000,1982.1248860434262
8100,1998.3917180100702
8200,2015.1753503296252
8300,2031.657311140401
8400,2048.5463857766813
8500,2064.684430373633
8600,2081.8081545290815
