Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.4593098296948491,0.2823970196023613
100,16.244088059835185,17.831693514175875
200,26.821226329914275,25.761198227263925
300,32.44311995402323,31.292965853143848
400,36.98446859905384,36.51434515705657
500,41.44206234174346,40.90803205586208
600,45.94386133367384,44.85456840689833
700,50.66913197017543,48.98818238444192
800,54.93249060111289,52.57582734998226
900,59.06779952751001,56.578477539177676
1000,63.561103819725794,60.96791232704421
1100,67.92229408571386,64.45732970926952
1200,70.8808944990216,67.62943674891592
1300,74.59376162278637,70.53813192442573
1400,78.66543603972613,74.3848804601416
1500,82.05841098183284,77.83518338303273
1600,85.147629022745,80.8479127672973
1700,88.70552810962616,83.45413894844775
1800,91.78963096330989,86.93791563190362
1900,94.05732437203883,90.63331460505506
2000,97.58475775556802,93.64537070774205
2100,100.13326830129094,96.88182571645085
2200,102.78849634630565,99.82123444930706
2300,105.61207494111518,103.0356559947639
2400,108.3146875648049,105.84962822788596
2500,110.60418167046484,109.15701764333346
2600,113.44130932156718,111.37995791046244
2700,115.93591865192407,114.28033660460531
2800,119.08412125428188,117.37002440473282
2900,121.95552815995475,120.21389816122557
3000,124.6718940637428,122.41517405281984
3100,127.01589492809777,124.88143668318223
3200,130.16210901132132,127.0455398530884
3300,132.71475878890587,128.9211868001077
3400,135.57343520906946,131.35349112345335
3500,137.67741942840593,133.80701105904313
3600,140.5815609522609,136.17655805018666
3700,142.4681357751578,138.82964774520934
3800,144.9638135847784,140.86546719303652
3900,147.78757732351366,143.3889051794626
4000,149.9366476067198,146.2741203280087
4100,152.40349121610024,148.34035501275866
4200,155.03551777104647,150.60505810929433
4300,157.12181087420046,152.87934144145237
4400,159.27349211164145,154.95613074564702
4500,161.66012562024983,157.08287277119956
4600,163.40685437405605,159.3724463951945
4700,165.58284898525667,161.84247979936123
4800,167.6848621823118,164.14796336403032
4900,170.4439066403535,166.73083006701154
5000,172.69545844602555,168.69089759509703
5100,175.5427647518183,171.2198400283883
5200,177.64577274940345,173.03075337692007
5300,179.33896859703503,175.15231195544044
5400,181.72491253723484,176.99791532822667
5500,183.6098004192782,179.12447922814022
