Time(Iteration),EpsilonGreedyLinearBandit
0,0.4827233898645466
100,17.13074072561473
200,26.962684855379205
300,34.83388091583747
400,41.4501453788257
500,46.8676819026468
600,51.54063150932494
700,56.41777395564289
800,60.85752357321435
900,65.98050209668398
1000,70.30275598748439
1100,74.91304174152758
1200,78.53191468885919
1300,82.75619682281368
1400,86.65729221495837
1500,90.00383813473715
1600,93.86274750052203
1700,97.92091001528556
1800,100.7345702643069
1900,103.65901373355629
2000,107.3535750742067
2100,110.09501547411905
2200,112.46237011376134
2300,115.545641977021
2400,119.21122202272825
2500,121.85593475274382
2600,124.73315937551338
2700,127.49729603091025
2800,130.97618637521043
2900,133.5981603816437
3000,135.83660952165945
3100,138.557223580703
3200,141.00938510120224
3300,143.71236050199383
3400,146.796308777478
3500,149.97298738904033
3600,152.44517954742554
3700,155.13338729294463
3800,157.952373688207
3900,160.83508532159905
4000,163.74565198252063
4100,165.98392722453974
4200,168.7486854735293
4300,170.85538818191992
4400,173.7384023685291
4500,175.8782439882733
4600,178.0459435743523
4700,180.11221788882057
4800,182.15809234601716
4900,184.31738323861893
5000,186.52674985979243
5100,188.9710180848284
5200,191.21347407600476
5300,193.14957172802045
5400,195.36149949933247
5500,197.68107380412368
5600,200.02839537407746
5700,202.00030790510817
5800,204.28596432307393
5900,206.72901575719237
6000,209.01226237092138
6100,211.79232425181385
6200,214.1023544540892
6300,216.09777064788574
6400,218.06636524138975
6500,220.7485448316877
6600,223.39791609634017
6700,224.7985678748496
6800,226.64866063201072
6900,228.5891942029426
7000,230.6701035813306
7100,232.60768508270272
7200,234.91937046398488
7300,237.31768156070575
7400,239.28643011937174
7500,241.64964801829933
7600,243.95446444145767
7700,245.752828928404
7800,248.0472330439668
7900,249.7266252328427
8000,251.48313053063566
8100,253.59064972535322
8200,255.6283652880129
8300,258.02774756555306
8400,259.930257580169
8500,261.3431340174144
8600,263.2029233300179
8700,264.9492930709242
8800,266.7717537489579
8900,268.5590602040178
9000,270.42047909787675
9100,272.5068389061202
9200,274.1399797461236
9300,275.96785519425384
9400,278.11858535129807
9500,280.5218231995505
9600,282.07366735222695
9700,283.8368876672293
9800,285.29794089486444
9900,286.7563325939727
10000,288.78504894530136
10100,290.6040652226006
10200,292.3780982445741
10300,294.19280039230756
10400,295.78774016152
10500,297.5369230095354
10600,299.2296513375896
10700,301.10289798983143
10800,302.87848017889166
10900,304.9332336765762
11000,307.01341589671637
11100,308.6967290871188
11200,311.009097889946
11300,312.53919865669707
11400,314.331082234452
11500,316.35035726664205
11600,318.0706473499305
11700,319.7983083900118
11800,321.43624909390945
11900,323.54553031754335
12000,325.19050219795594
12100,326.90450145923216
12200,328.75340611673585
12300,330.9939030895388
12400,332.52086358217343
12500,334.8445792663646
12600,336.59157714547007
12700,338.54130876175515
12800,339.88954467770657
12900,341.8642378112782
13000,343.5860571033956
13100,345.00872183473484
13200,346.59369931969775
13300,348.6048465476063
13400,350.7630290930712
13500,352.28844835170537
13600,353.94303911236295
13700,356.21595375203094
13800,358.17103072857094
13900,359.9041340895261
14000,361.9986900318623
14100,363.47842912284136
14200,365.24874148495644
14300,367.0517588824297
14400,369.3772397681846
14500,370.8735255919319
14600,372.66065050691014
14700,374.6068992530737
14800,376.37092245515555
14900,378.3466760084222
15000,379.9730574713911
15100,381.6469518989213
15200,383.5747728108919
15300,385.25510987639456
15400,387.2021416404786
15500,388.6750366281152
15600,390.30085503877376
15700,392.3423046813417
15800,393.97090471657555
15900,395.5901099954048
16000,397.3008327550832
16100,399.1779477537905
16200,400.54377032925186
16300,401.8703987974912
16400,403.2650598210611
16500,405.04429116629154
16600,406.42001207648167
16700,407.9089478893562
16800,409.294781716941
16900,411.231324978025
17000,412.87099550329214
17100,414.21502691267534
17200,416.02387253084555
17300,417.5373714630964
17400,419.05268677028045
17500,420.798893554184
17600,422.3454052166031
17700,424.1945081485339
17800,425.1370378131488
17900,426.9106519986725
18000,428.5486188220352
18100,430.0943638634387
18200,431.5731155318946
18300,433.7696434077551
18400,435.0768399681323
18500,437.4106647886986
18600,438.62147054367335
18700,440.1141796028448
18800,441.9608439263472
18900,443.23292698710355
19000,444.60044623426063
19100,446.19362309631714
19200,447.3863350466216
19300,448.72492501008975
19400,450.04990330056563
19500,451.35836844882715
19600,452.4652156723121
19700,453.9243223943581
19800,455.33134024098933
19900,456.6666364081799
20000,458.4169845728031
20100,459.8286167902672
20200,461.510444420219
20300,463.37243392394004
20400,464.62278637714655
20500,465.9244543172582
20600,467.61185604508074
20700,469.0578204758277
20800,470.80703949811607
20900,472.2643261217393
21000,473.2649592979501
21100,474.3920685171899
21200,476.20429263932294
21300,477.2332723427097
21400,478.76433247195325
21500,480.2166281415076
21600,481.5528420192633
21700,483.2380772221769
21800,484.67933734728166
21900,486.02199278119025
22000,487.5493752117559
22100,488.8232380622305
22200,489.92884755950837
22300,491.31351436164306
22400,492.68450056864185
22500,493.9671074152981
22600,495.5025599817492
22700,497.04969730182586
22800,498.91060438134326
22900,500.579343632481
23000,501.960315860974
23100,503.4822042041218
23200,505.1029845349429
23300,506.2870694988895
23400,507.6542560459904
23500,509.14831720932835
23600,510.41317965460223
23700,511.8910858666962
23800,512.9163188290462
23900,514.3996612192316
24000,516.0756962977272
24100,517.3560124875382
24200,518.7319646657218
24300,519.5960964925415
24400,521.1869036753877
24500,522.9665251111381
24600,525.0347760427251
24700,526.597619826651
24800,528.1272610121224
24900,529.2147787401946
25000,530.5879313815725
25100,531.7109399342548
25200,533.3061245975199
25300,534.2773550384267
25400,535.5925226756362
25500,536.8783441621497
25600,538.3992828542425
25700,539.9159655189794
25800,541.6086260023941
25900,543.4474168844066
26000,545.1649135970798
26100,546.3317829269288
