Time(Iteration),LinearThompsonSamplingMAB
0,0.4072459202525579
100,36.252252707166846
200,67.41393656960655
300,95.1871342605728
400,120.13347147895274
500,142.27123919751918
600,163.97056442957856
700,183.80920456112057
800,200.23142853224616
900,216.46189162701484
1000,231.12906660917474
1100,245.3339829547464
1200,258.4303639335609
1300,269.799665497152
1400,281.42912697038554
1500,291.60166914880347
1600,302.0404857100313
1700,311.726146782658
1800,320.78383147840384
1900,328.649705392533
2000,336.6023018118342
2100,344.7700477017523
2200,352.1238964603689
2300,359.0108955240074
2400,366.96366658011686
2500,373.0213215905456
2600,379.8503935044898
2700,385.86970818695363
2800,392.13325561992
2900,397.6640819309378
3000,402.68072514884585
3100,407.636726278315
3200,412.314646459497
3300,416.8868022564817
3400,422.483858238092
3500,426.56195442823616
3600,430.49946050261343
3700,434.3843056608624
3800,438.4779005625166
3900,442.6876343142861
4000,446.66458764454194
4100,451.265440348414
4200,455.58232918548237
4300,459.7381691057535
4400,463.92755025218037
4500,467.6059210829259
4600,471.31754578490916
4700,475.2699794474744
4800,478.44768135737695
4900,481.6789227685308
5000,485.0067451000218
5100,487.7668296867875
5200,491.04608894763015
5300,494.071157518135
5400,496.4466621154699
5500,498.93992661618825
5600,501.85380509372624
5700,504.68449009575943
5800,507.27099951050013
5900,510.1625681391638
6000,512.4688541371836
6100,514.5969034745509
6200,517.3771864520294
6300,519.8173443007374
6400,522.6399846216144
6500,525.4730190240911
6600,527.6286832474041
6700,529.7996183020767
6800,532.3187764801241
6900,534.4734890551262
7000,537.0328540106451
7100,539.32901925907
7200,540.9265965495804
7300,543.2107132048664
7400,545.4088739464637
7500,547.6764556358802
7600,549.860425837556
7700,552.1217137967863
7800,554.1428312562132
7900,555.815273944669
8000,557.6094883375399
8100,559.7456393207073
8200,561.7777915349564
8300,563.6557288840982
8400,565.2849111135282
8500,566.910228655839
8600,568.8056188256089
8700,570.4845898163228
8800,572.3453281915388
8900,573.9757203491911
9000,575.6771001472064
9100,577.6796808376446
9200,579.5390937831695
9300,581.0927869476998
9400,582.935576084222
9500,584.8773683323259
9600,586.5056741055724
9700,587.94217514362
9800,589.1770363403119
9900,590.8118089984051
10000,592.2524262128768
10100,593.8751310970883
10200,595.3773921657956
10300,597.2306270444838
10400,598.7274373338648
10500,599.8127120368631
10600,601.3574924319198
10700,603.0391879919566
10800,604.3280406767448
10900,605.486435214017
11000,607.1610598071885
11100,608.8622330054228
11200,609.8464528065248
11300,611.3178730109378
11400,612.9322261064573
11500,614.0898564996064
11600,615.5811527006465
11700,617.0292289816698
11800,618.5264975496576
11900,619.8213653872591
12000,621.0586644719339
12100,621.9524613600236
12200,623.2302880869934
12300,624.9113120514548
12400,626.5239410460707
12500,627.7557141769998
12600,628.7735431679232
12700,629.8718522096035
12800,631.4377132234761
12900,632.7439749288158
13000,633.9665650768427
13100,634.926914373166
13200,636.2328043650759
13300,637.6214810687038
13400,638.8461308544479
13500,640.0259337296684
13600,640.9301393454431
13700,641.8166808742727
13800,643.0036232705395
13900,643.6472985211803
14000,644.6746704771912
14100,646.0321810338571
14200,647.1885782301786
14300,648.5702172105549
14400,649.6301270979401
14500,650.7247073063375
14600,652.0350706519957
14700,653.0979760579464
14800,654.0611037726846
14900,655.2344146647839
15000,656.1129759743138
15100,656.8640967343512
15200,657.8653625272088
15300,658.8232368181424
15400,660.001879578755
15500,660.9577774533249
15600,662.2240387263806
15700,663.0455247074312
15800,664.1074880506153
15900,664.9515278589842
16000,665.9841769931454
16100,666.8525680671896
16200,667.7711953742888
16300,668.81946808118
16400,669.7718950627448
16500,670.5737325635911
16600,671.5715718825176
16700,672.3819076984112
16800,673.3952249395827
16900,674.1646785005646
17000,675.1359945528106
17100,676.16945079506
17200,677.200345503009
17300,678.242508369705
17400,679.0081625973237
17500,679.9452092974597
17600,680.8424009082592
17700,681.8562965799532
17800,682.8390582641475
17900,683.4568966097643
18000,684.092689186422
18100,684.6149504145426
18200,685.3372248941844
18300,686.1473286916234
18400,686.9189192023535
18500,687.8646323851921
18600,688.7389400522029
18700,689.6205615415967
18800,690.3492861654092
18900,691.3315111263884
19000,692.1078860692289
19100,692.8655280915159
19200,693.7286961890342
19300,694.391736145078
19400,695.1171380591201
19500,696.0626777172736
19600,696.750722667342
19700,697.6700780045287
19800,698.3613130028879
19900,699.2772137327574
20000,699.9539223656802
20100,700.6436962300991
20200,701.3547022877214
20300,702.2095883516342
20400,703.1860097941993
20500,703.5989714281326
20600,704.1700486732365
20700,704.7411037934265
20800,705.5777175636529
20900,706.3883269421151
21000,707.3578863346154
21100,707.7734829672
21200,708.3141774499236
21300,708.9838968863904
21400,709.7197156431272
21500,710.3192686894249
21600,710.8740652194122
21700,711.4419000219897
21800,711.964594518038
21900,712.5525140031449
22000,713.1214191540222
22100,713.9713984005884
22200,714.6134800878085
22300,715.1870551176797
22400,716.0095979412315
22500,716.688295662657
22600,717.3681327260766
22700,717.8287222703253
22800,718.3830584494465
22900,718.9740029206777
23000,719.7844660419911
23100,720.6883421528107
23200,721.2118523644659
23300,721.7781340688563
23400,722.3983919664471
23500,723.3255807883395
23600,723.9856519170305
23700,724.3509550897187
23800,724.9890576421518
23900,725.8653626508635
24000,726.433468254589
24100,727.1683296467736
24200,727.8685075937899
24300,728.3988615870269
24400,728.9989080373758
24500,729.6875101199078
24600,730.364775783044
24700,730.8300547218766
24800,731.4574982072496
24900,732.1072727054486
25000,732.5411668914869
25100,733.1929653171508
25200,733.982640979644
25300,734.5551543427335
25400,735.2645979226992
25500,735.6527768218527
25600,736.4591802557027
25700,737.063557538085
25800,737.5508471104148
25900,738.3482160197425
26000,738.9714797157333
26100,739.5979868182193
26200,740.099660961029
26300,740.5645602239877
26400,741.0630902409364
26500,741.7401411720194
26600,742.1467443672003
26700,742.6269069956982
26800,743.0454218155968
26900,743.4230952351534
27000,743.8564912934692
27100,744.335278747348
27200,744.9746050467581
27300,745.5328673732118
27400,746.4035238962405
27500,747.1088983205462
27600,748.1561586858928
27700,748.8413533452365
27800,749.2008110759866
27900,749.9459133679214
28000,750.5659735187677
28100,751.0684711487236
28200,751.5009072354813
28300,751.7860769606729
28400,752.4053166614624
28500,753.0476934844739
28600,753.8605656260354
28700,754.2464538335518
28800,754.7051546226041
28900,755.0068848986296
29000,755.5887571560187
29100,756.0239510027507
29200,756.5389857159416
29300,756.9454438384926
29400,757.6117085444556
29500,758.1361307484383
29600,758.8989853387826
29700,759.3954105607017
29800,760.0584615056335
29900,760.5824809421187
30000,761.1656374591124
30100,761.6032894975274
30200,762.0208524600628
30300,762.4588310425063
30400,762.9587021422055
30500,763.3981210629798
30600,763.9644476536798
30700,764.3339268589506
30800,764.8021010715208
30900,765.2969043851505
31000,765.7148952494434
31100,766.1286709024995
31200,766.7650758144639
31300,767.3613009155645
31400,767.8004511246679
31500,768.0085401649577
31600,768.4021283719744
31700,768.7288824205319
31800,769.1218225842996
31900,769.6743464033825
32000,770.0168732951063
32100,770.4543765109449
32200,770.7486808125132
32300,771.0773485705574
32400,771.455500829995
32500,771.8126435809103
32600,772.3670415262638
32700,772.9262896976163
32800,773.5133337950072
32900,773.9487498539321
33000,774.4282882218329
33100,774.9159614612101
33200,775.3074715252052
33300,775.913978528619
33400,776.425760740001
33500,776.7805408642046
33600,777.2299069205162
33700,777.6113334058463
33800,778.0812602928657
33900,778.5418837818485
34000,778.8095858739114
34100,779.3301618528106
34200,779.9722134407798
34300,780.367596074373
34400,780.8214591883018
34500,780.9703930497465
34600,781.4899572456059
34700,782.0327734904088
34800,782.4282975079352
34900,782.8846668106626
35000,783.4515248049456
35100,783.8931099332792
35200,784.3336969198665
35300,784.7849348570928
35400,785.2904696316914
35500,785.5541757428691
35600,786.2231170249872
35700,786.6747873639064
35800,787.2032736298835
35900,787.6640364146134
36000,787.9024135715737
36100,788.3215979301207
36200,788.7365673754873
36300,789.2714100975599
36400,790.0118610102837
36500,790.6887084851069
36600,790.9756330561044
36700,791.2487282093962
36800,791.5127972602188
36900,791.8727328467766
37000,792.2961259123928
37100,792.6792626898283
37200,793.0848238852988
37300,793.3088587225492
37400,793.6045690969714
37500,793.9588338119859
37600,794.1543463500126
37700,794.5272984486724
37800,794.7508743305027
37900,795.1544327176507
38000,795.5313899566372
38100,795.8534289121623
38200,796.3450866380927
38300,796.7651518903517
38400,797.1803302099418
38500,797.5548906831972
38600,797.93282076226
38700,798.4676348922851
38800,798.7766509268691
38900,799.0267996071784
39000,799.2872343080071
39100,799.5756406943422
39200,799.8735218706589
39300,800.3341094161179
39400,800.7151596093562
39500,801.1574335490677
39600,801.3782173531372
39700,801.5417650372857
39800,801.7824256052852
39900,802.071173434775
40000,802.4659897053754
40100,802.803695953716
40200,803.2473668054544
40300,803.5934785943341
40400,803.9001940380036
40500,804.1836392600405
40600,804.4616359258177
40700,804.799133909704
40800,805.1142811036163
40900,805.4646078087019
41000,806.1658924919591
41100,806.575262231073
41200,806.9169917398187
41300,807.4326478556003
41400,807.8652918073102
41500,808.3178067934123
41600,808.7160407461962
41700,809.0816593567049
41800,809.409064530806
41900,809.9321838540247
42000,810.3299633553745
42100,810.7337332379126
42200,810.9939956613972
42300,811.2078151409356
42400,811.5604223351464
42500,811.906923491626
42600,812.2015823650029
