Time(Iteration),ThompsonSamplingGaussianMAB
0,0.44447163428210573
100,27.82187864236413
200,41.629961452119964
300,48.97622025246076
400,53.14245871950885
500,56.58166868681502
600,59.23499552820531
700,60.95665036239384
800,62.39452933673721
900,63.56152268802731
1000,64.6021055023786
1100,65.38455557047979
1200,66.24141662843019
1300,66.85836627787131
1400,67.90103730661743
1500,68.28906182434281
1600,69.25509175598765
1700,69.78592408786663
1800,70.21892208305599
1900,70.74953166285
2000,71.33148815798134
2100,72.00158710501148
2200,72.41979682380727
2300,72.95129480860035
2400,73.21023351504957
2500,73.47380061316372
2600,73.8199393977993
2700,74.2593556046633
2800,74.64977423037489
2900,74.9635257678825
3000,75.2680977582055
3100,75.46953069663803
3200,75.62544711473453
3300,75.89087155751523
3400,76.05630421303661
3500,76.21605638370336
3600,76.58354410510894
3700,76.78343106968988
3800,76.91828375777293
3900,77.1082478825783
4000,77.2476625855806
4100,77.4592954590984
4200,77.54775387036787
4300,77.59571903683766
4400,77.69779240611209
4500,77.89177506797475
4600,77.9747826874309
4700,78.1237773665187
4800,78.19930785598697
4900,78.35126662696291
5000,78.46906598503142
5100,78.62568912050264
5200,78.67568316569155
5300,78.78041796054704
5400,78.79423937363563
5500,78.92889791123348
5600,79.00246519071777
5700,79.13562767765706
5800,79.24880993275552
5900,79.36478878832936
6000,79.37349163864035
6100,79.564247634562
6200,79.8142130839426
6300,79.90969856046672
6400,79.96541948250075
6500,80.02919571922877
6600,80.03221980042541
6700,80.19415497556292
6800,80.24456446317399
6900,80.4436916145394
7000,80.50277823695612
7100,80.53027783993953
7200,80.7166662794362
7300,80.78993800516386
7400,80.91401715399513
7500,81.02630106754451
7600,81.12361584748757
7700,81.14249017315704
7800,81.21566249972314
7900,81.4546387403072
8000,81.45510749523376
8100,81.45604500508686
8200,81.5135009428669
8300,81.62057196722003
8400,81.87350532726298
8500,81.91206183650613
8600,81.97521112022677
8700,82.02819128032984
8800,82.15262448247954
8900,82.1580430598943
9000,82.28721064306258
9100,82.39824979277606
9200,82.42265591752911
9300,82.51923357340979
9400,82.56688010235885
9500,82.65252617730339
9600,82.7734084587861
9700,82.87809675072772
9800,82.92900723939604
9900,82.96671024890337
10000,83.01976212061027
10100,83.0423073706253
10200,83.04277612555185
10300,83.21281260580916
10400,83.27010183396152
10500,83.32188996746758
10600,83.41834595443363
10700,83.44296426740414
10800,83.59700763062276
10900,83.62084579486398
11000,83.6611084542374
11100,83.72682627900376
11200,83.83845118552973
11300,83.89134805364127
11400,83.89134805364127
11500,83.94620544688259
11600,83.97557952661623
11700,84.19760277083216
11800,84.20396854017658
11900,84.20443729510313
12000,84.25273072361121
12100,84.26723008348412
12200,84.26723008348412
12300,84.28377494221805
12400,84.34116821528937
12500,84.352489933998
12600,84.44064051325677
12700,84.44064051325677
12800,84.51430586392406
12900,84.54393216344404
13000,84.58298202338825
13100,84.63831307597732
13200,84.67442739329049
13300,84.7833869816194
13400,84.80625826221753
13500,84.82280917201467
13600,84.83724938895253
13700,84.8701234082881
13800,84.96098474465407
