Time(Iteration),LinearUCBBandit
0,0.48753014983778264
100,30.551225184675353
200,45.88369319047982
300,55.884122133593635
400,62.708345894097555
500,67.3566561328432
600,70.64915145352317
700,73.0769811423259
800,75.1746616367611
900,76.63194601771593
1000,78.07406642019092
1100,79.75241069208619
1200,80.66551729803982
1300,81.74403811304194
1400,82.62626335339999
1500,83.30617484354676
1600,84.34892572135672
1700,85.16672454695046
1800,85.68442629666767
1900,86.22988405830809
2000,86.81243127398875
2100,87.42891054906882
2200,87.94721036840963
2300,88.41905215443367
2400,89.06871583431597
2500,89.42213141775278
2600,89.77051969656048
2700,89.96071996990817
2800,90.28855657372334
2900,90.55682603204963
3000,90.97489756219343
3100,91.22749823753745
3200,91.48247146575991
3300,92.07740963153046
3400,92.36679601912732
3500,92.69400163470267
3600,93.09277543468335
3700,93.22573582334566
3800,93.40748820002528
3900,93.4767545117669
4000,93.61820774742523
4100,93.69430276487803
4200,93.85914538948573
4300,94.21025563264462
4400,94.44190573334252
4500,94.55664797996623
4600,94.65671228360152
4700,94.87524186149305
4800,95.181221987549
4900,95.21232525836774
5000,95.33835860602018
5100,95.4003047170713
5200,95.66619260408572
5300,95.77419815933075
5400,95.96448693843635
5500,96.33019219051172
5600,96.41596277991465
5700,96.59970317727823
5800,96.64569648152732
5900,96.71790762067359
6000,96.91997215000646
6100,96.9511929884785
6200,96.97180756992654
6300,97.08584491565455
6400,97.26770947438919
6500,97.35175901196445
6600,97.48037830939813
6700,97.56215627954764
6800,98.00353997752218
6900,98.38320107360995
7000,98.3918449775153
7100,98.43226358358108
7200,98.45459862640065
7300,98.59653738147325
7400,98.59653738147325
7500,98.65864700810182
7600,98.68049131125983
7700,98.73608189502397
7800,98.82783480252921
7900,98.89909588570998
8000,98.91266300627657
8100,98.91934384429258
8200,98.96368205936352
8300,98.97900680128488
8400,99.10642703573812
8500,99.17270521725479
8600,99.19504026007436
8700,99.24663917256711
8800,99.26997491963112
8900,99.31221763490497
9000,99.33346206340657
9100,99.38463838661193
9200,99.43245831494079
9300,99.50766988883942
9400,99.58361392369449
9500,99.69866005998531
9600,99.7356733449489
9700,100.03710759214431
9800,100.12677022945755
9900,100.20880380575115
10000,100.22434255966014
10100,100.2739167420105
10200,100.3694164368109
10300,100.49657601909016
10400,100.53110643879394
10500,100.5956121143885
10600,100.62032128771165
10700,100.74434517651153
10800,100.7964147364401
10900,100.82269144309812
11000,100.85725529905756
11100,101.03711817020637
11200,101.07502849185784
11300,101.18759119189195
11400,101.21223060737515
11500,101.25882858569983
11600,101.28669299304357
11700,101.32685343030958
11800,101.32685343030958
11900,101.3382544976277
12000,101.38753785694657
12100,101.40092466936856
12200,101.44487064790232
12300,101.54707730342281
12400,101.54707730342281
12500,101.54707730342281
12600,101.59776846358459
12700,101.61729559044585
12800,101.64208347018597
12900,101.65108585259534
13000,101.6924034551488
13100,101.7811669110736
13200,101.79452858710562
13300,101.79452858710562
13400,101.79945180376686
13500,101.84446004852416
13600,101.86590044114918
13700,101.87454434505453
13800,101.90588093759196
13900,101.90588093759196
14000,101.90588093759196
14100,101.9442539770401
14200,101.99373839001107
14300,101.99866160667231
14400,102.08184609322915
14500,102.14510718618675
14600,102.15903657964049
14700,102.18439526681581
14800,102.20447658963974
14900,102.2407103811361
15000,102.24563359779734
15100,102.26228850684535
15200,102.28689526393
15300,102.30028207635202
15400,102.30520529301326
15500,102.31188613102927
15600,102.38718131392473
15700,102.40034058240651
15800,102.40034058240651
15900,102.41370225843855
16000,102.41370225843855
16100,102.41370225843855
16200,102.46805571359889
16300,102.48809822764694
16400,102.48809822764694
16500,102.50697889154749
16600,102.53831806671363
16700,102.547320449123
16800,102.5724709957022
16900,102.71415858600969
17000,102.71908180267094
17100,102.71908180267094
17200,102.7584675359609
17300,102.7584675359609
17400,102.7584675359609
17500,102.81463759883971
17600,102.86767980094382
17700,102.86767980094382
17800,102.94784206778607
17900,103.00337305127016
18000,103.0609772976555
18100,103.08554524066294
18200,103.11422416183139
18300,103.11422416183139
18400,103.16421232864843
18500,103.16421232864843
18600,103.16421232864843
18700,103.16421232864843
18800,103.16421232864843
18900,103.17759914107043
19000,103.22039151335882
19100,103.22039151335882
19200,103.22039151335882
19300,103.2601735330855
19400,103.27585675351091
19500,103.2977930026544
19600,103.2977930026544
19700,103.2977930026544
19800,103.32347684415171
19900,103.32347684415171
20000,103.33015768216774
20100,103.33015768216774
20200,103.33015768216774
20300,103.33015768216774
20400,103.33880158607307
20500,103.36369218277837
20600,103.45303249323732
20700,103.45303249323732
20800,103.53564947944358
20900,103.53564947944358
21000,103.53564947944358
