Time(Iteration),EpsilonGreedyMultiArmedBandit
0,0.360081420877157
100,18.178110951945328
200,27.5865802469899
300,35.34786104480224
400,41.80506225802826
500,47.86684616404746
600,53.22376719256331
700,57.91431797833525
800,62.431444775835494
900,66.01604860730667
1000,69.47407476099839
1100,72.74524848548768
1200,77.08055551494989
1300,80.44841000433415
1400,83.99119807613917
1500,86.92209211176036
1600,90.90124098814913
1700,94.54943530712086
1800,97.68177038911502
1900,100.5804291597105
2000,104.4207018808219
2100,107.97292576003478
2200,110.94917991523091
2300,113.74232390492026
2400,116.4433864703115
2500,119.70597007249012
2600,122.18246026139562
2700,124.33023703968334
2800,127.6616268116467
2900,129.90350030388421
3000,132.3750383353193
3100,135.0520899202316
3200,138.30337651525653
3300,140.6265502313766
3400,143.1972368978429
3500,145.76269231089935
3600,148.5045758896617
3700,151.30228839527084
3800,154.21544170401296
3900,157.18209529014158
4000,159.69869267566412
4100,161.89340109895528
4200,164.8675156497359
4300,167.49666734182193
4400,169.89529507422893
4500,172.28114598609113
4600,174.83627609163497
4700,177.4216187288335
4800,179.66686789573652
4900,181.80861062576145
5000,183.59346188477815
5100,185.5233259446839
5200,187.23760496186802
5300,188.64399415358872
5400,190.49540277284558
5500,192.72538036942217
5600,195.0344872277591
5700,196.91085250064788
5800,198.88303473902306
5900,200.74383348335354
6000,202.49998254054603
6100,204.4476521970274
6200,206.216543780372
6300,207.8084012525648
6400,210.0791548418712
6500,211.52435635308515
6600,213.49674251703146
6700,215.626934648537
6800,216.95837189849195
6900,219.03883400075787
7000,220.95375369695915
7100,222.7959528687802
7200,224.88771983654334
7300,227.46633747692422
7400,229.51758264123322
7500,231.95826295578144
7600,233.9650354382108
7700,236.09892674476686
7800,237.91362497555824
7900,239.6205205159294
8000,241.8991031749129
8100,244.06043227628388
8200,246.31835557007994
8300,247.9700657023083
8400,249.95626426256763
8500,251.61589768156233
8600,253.64310325701658
8700,255.70704396327474
8800,257.55120607048775
8900,259.18900584036356
9000,260.9223272831101
9100,262.6945590473208
9200,264.78951005480235
9300,266.33844784994756
9400,268.5277648816298
9500,270.0494412603228
9600,272.0037537661783
9700,273.4309291527489
9800,275.16950258441415
9900,276.95616721403974
10000,278.89287383983674
10100,280.55525648125047
10200,281.79759525406297
10300,283.62187906910737
10400,285.5889179546557
10500,287.7928282537484
10600,289.536485653084
10700,291.03895058540263
10800,292.5991851505851
10900,294.26695332995
11000,295.64290518528355
11100,297.1777525840811
11200,299.4739673850921
11300,300.6611729039269
11400,302.24475343301623
11500,303.43621281888335
11600,305.2828828400758
11700,307.0331480574877
11800,309.2049137834636
11900,310.69250504519744
12000,312.1923853707211
12100,313.73065910173193
12200,315.3447585746235
12300,317.0494370035755
12400,318.5912384947424
12500,320.0990054040984
12600,322.0532917204964
12700,323.69122264642965
12800,324.9169433319698
12900,327.0040100899503
13000,328.4383440708015
13100,330.10705647901705
13200,332.24000098625896
13300,333.72897065476144
13400,334.71926037611036
13500,335.98127368621834
13600,337.7660439356208
13700,339.1199203473649
13800,341.01100700984966
13900,342.23155989674063
14000,343.70763047799306
14100,345.18104032503186
14200,346.5735243618935
14300,348.1925589262831
14400,349.6188073829282
14500,350.70458189949335
14600,351.8515367264531
14700,353.28790724128294
14800,354.924888158775
14900,356.34391172453405
15000,357.85543777718357
15100,359.21707754060446
15200,360.5931606861776
15300,362.41120785846726
15400,363.6959224860039
15500,365.16165552331375
15600,366.9500611353467
15700,368.21503563409266
15800,369.4109599756276
15900,370.52080930389036
16000,371.7437970351853
16100,373.46308181155166
16200,375.0567625117921
16300,377.1146291896542
16400,378.5703794824525
16500,379.9911462180711
16600,381.3008917385209
16700,382.45490742940376
16800,383.7232336097253
16900,385.1281298308247
17000,386.3922837270423
17100,388.1000625230958
17200,389.24250026394645
17300,390.44769896141275
17400,392.0285857783033
17500,393.7809074494305
17600,395.3662427566532
17700,397.1591766555939
17800,399.1177149830338
17900,400.5085480369039
18000,401.9714646599057
18100,403.46553656670136
18200,404.97277365282906
18300,406.46151672119845
18400,408.0624443220112
18500,409.7470712365533
18600,411.19167385810135
18700,412.27193816065665
18800,414.20087541821124
18900,415.61434189472476
19000,416.9550411539138
19100,417.84443737389455
19200,419.10129380958114
19300,420.5123166446071
19400,421.70483364836707
19500,423.2212226867572
19600,424.7726974076101
19700,426.5010902580599
19800,427.7518291302853
19900,428.92035713913384
20000,430.5970710742292
20100,431.8321662306768
20200,432.5472716877178
20300,434.1358748273856
20400,435.8104932598787
20500,437.34984563375264
20600,438.83799419023836
20700,440.34645049970004
20800,442.33351404311435
20900,443.84398188332824
21000,444.9287912964627
21100,446.2428338011514
21200,447.7962080695337
21300,448.9767995380586
21400,450.31163237511964
21500,451.26999946864896
21600,452.48059159209214
21700,453.9970006860517
21800,454.94407174541294
21900,456.1815749836928
22000,457.5911232017749
22100,459.21101392409275
22200,460.43865342017426
22300,461.9359424939633
22400,463.7820554368076
22500,464.92723806536713
22600,466.01255528740177
22700,467.1077142715949
22800,468.4604829693314
22900,469.74102905214056
23000,470.8235006205863
23100,472.28188642154527
23200,473.63681593490594
23300,474.84532309539543
23400,476.2517613545535
23500,477.4911555754578
23600,478.70054961058986
23700,479.92835984559434
23800,480.93917192510924
23900,482.17876291796244
24000,483.6249960606506
24100,485.0730221385552
24200,485.9641464366787
