Time(Iteration),LinearUCBBanditTheta
0,0.9766178136551629
100,0.9288411973562315
200,0.9288380144994006
300,0.9288378608835435
400,0.9288373047056364
500,0.928834973682803
600,0.9288319371544208
700,0.9288289541531347
800,0.9288279371534756
900,0.9288279428750178
1000,0.9288274903695685
1100,0.9288275004332623
1200,0.928829004933722
1300,0.928827788920301
1400,0.9288284918039293
1500,0.9288288744836419
1600,0.9288284853383111
1700,0.9288282605388438
1800,0.9288275254106063
1900,0.9288282520602756
2000,0.9288274552476423
2100,0.9288275713627441
2200,0.928827292106113
2300,0.9288271821992542
2400,0.9288269974011338
2500,0.9288272599805643
2600,0.9288268612651844
2700,0.9288267341376407
2800,0.9288265489921417
2900,0.9288265370361296
3000,0.9288265274158409
3100,0.9288267635894177
3200,0.9288268379284172
3300,0.9288265488695991
3400,0.928826453657857
3500,0.9288263939208647
3600,0.928826289999433
3700,0.9288261254222181
3800,0.9288260392274331
3900,0.9288255749958475
4000,0.928825378824803
4100,0.9288254239134941
4200,0.9288255125482721
4300,0.9288255941777306
4400,0.9288253309710045
4500,0.9288254554229166
4600,0.9288254418766876
4700,0.9288251959964411
4800,0.928825130246366
4900,0.9288248941558838
5000,0.9288249351855798
5100,0.9288249049834609
5200,0.9288249808299385
5300,0.9288248490291349
5400,0.9288247574206674
5500,0.9288246075000955
5600,0.9288245667856057
5700,0.9288244122096841
5800,0.928824415962121
5900,0.9288244941765832
6000,0.9288245777525672
6100,0.9288246256459173
6200,0.928824616076237
6300,0.9288244975685123
6400,0.9288245373616426
6500,0.9288245734644047
6600,0.9288245631938535
6700,0.9288245393528951
6800,0.9288245470150349
6900,0.928824600847211
7000,0.9288245305409413
7100,0.9288245500318331
7200,0.9288244821979758
7300,0.928824516494355
7400,0.9288244881862694
7500,0.9288245277326126
7600,0.9288245623849866
7700,0.9288245714496469
7800,0.9288245680484474
7900,0.9288245873253878
8000,0.928824560469607
8100,0.9288246271893282
8200,0.928824571383079
8300,0.9288245039912054
8400,0.9288244710171689
