Time(Iteration),GeneralizedLinearBanditTheta
0,1.0021590827872422
100,0.9963405707416593
200,0.994422336149916
300,0.9844875190520324
400,0.9844112636735021
500,0.9826243629468833
600,0.9821438050645274
700,0.9810135861546506
800,0.9777255366108731
900,0.9769472034888871
1000,0.9739578049464667
1100,0.9720305057825976
1200,0.972442971785868
1300,0.9722088886112129
1400,0.9718382284036823
1500,0.9722278671754447
1600,0.9723187456077605
1700,0.9721101958699784
1800,0.9717883194586306
1900,0.9728558623737096
2000,0.9725549677399206
2100,0.9727375182120565
2200,0.9728905301822296
2300,0.9729124708983228
2400,0.9722829090109654
2500,0.9719574344074772
2600,0.9708111125307186
2700,0.9717452693894794
2800,0.9716071151630066
2900,0.9722716731388055
3000,0.9716746831789761
3100,0.9718350502150696
3200,0.9707181758329915
3300,0.970383828347732
3400,0.9698276387337431
3500,0.9706723275451212
3600,0.9709956902349433
3700,0.9706290277577644
3800,0.9704218027349292
3900,0.9701629450494128
4000,0.9702469255623292
4100,0.9707269775468955
4200,0.9706167327694668
4300,0.9702755910504905
4400,0.9698877134313646
4500,0.9699570017032901
4600,0.9696903919394492
4700,0.9700310706299298
4800,0.9703673444667636
4900,0.9705928268119145
5000,0.9702606889169765
5100,0.9703453160930765
5200,0.9699659571194974
5300,0.9698130261907076
5400,0.9698658348521526
5500,0.9696897696848359
5600,0.9692649988380303
5700,0.9691271047885511
5800,0.9689995621288345
5900,0.9691251297922404
6000,0.9690336440575461
6100,0.9691386687328611
6200,0.9698527901828873
6300,0.9699786758436619
6400,0.9698930759322819
6500,0.9697026392774569
6600,0.9699733943275657
6700,0.9699502624684969
6800,0.9701543525501363
6900,0.9702887707823301
7000,0.9701895410087603
7100,0.970262050359899
7200,0.9702768394166071
7300,0.9701802289010011
7400,0.970136471642325
7500,0.970043573686052
7600,0.9700648118702425
7700,0.9697402057498362
7800,0.9698973709190846
7900,0.9697230287788473
8000,0.969945340923808
8100,0.9700788446014228
8200,0.9698634279487948
8300,0.9697281879246662
8400,0.9701914331117042
8500,0.970232610884372
8600,0.9703209269766632
8700,0.9704798274152674
8800,0.9707072511326794
8900,0.9708130405041244
9000,0.9712817612835567
9100,0.9713876244801986
9200,0.9713500922878346
9300,0.9715255104689708
9400,0.9715320028399516
9500,0.9714673742727975
9600,0.9715231761140053
9700,0.9714605383826985
9800,0.9715152912274565
9900,0.9715226444852838
10000,0.9716347520144932
10100,0.9715097096761693
10200,0.9714147353569691
10300,0.9715549417639939
10400,0.971656436720397
10500,0.97164053387535
10600,0.9714332831143512
10700,0.9713508802861893
10800,0.9712089327259704
10900,0.9712692958371377
11000,0.9710967789648185
11100,0.9711374237208821
11200,0.9710845281178422
11300,0.9710108709303971
11400,0.9709836326463337
11500,0.9709047555219934
11600,0.9710174121295367
11700,0.9711222984996126
11800,0.9712160036975945
11900,0.9712128481405209
12000,0.9712415772710251
12100,0.9712107092932956
12200,0.971343418306615
12300,0.9714475144538609
12400,0.9712722903119655
12500,0.9711668003701239
12600,0.971018189691422
12700,0.9710385331214957
12800,0.9711701190546357
12900,0.9711165996598592
13000,0.9711357747905385
13100,0.9711270333450701
13200,0.9712685332623492
13300,0.9713413356200787
13400,0.9715855295856434
13500,0.9713725704286006
13600,0.9714042751420319
13700,0.971483029064725
13800,0.9714542900393937
13900,0.9714774514097565
14000,0.9715329948351773
14100,0.9714873117042526
14200,0.9715783199545676
14300,0.9717231873172654
14400,0.9716099461534438
14500,0.9715938492744748
14600,0.9715455256161114
14700,0.9714916853352522
14800,0.9714274133288759
14900,0.9713738730091934
15000,0.9711594998066981
15100,0.9711108652174785
15200,0.9709214801998314
15300,0.9708954689420679
15400,0.9708914922009069
15500,0.9708206919068288
15600,0.970797486566577
15700,0.9708572735472973
15800,0.9707541066450751
15900,0.9707967714541719
16000,0.9709276654011758
16100,0.9709848136515575
16200,0.9709008628137024
16300,0.9708303358482006
