Time(Iteration),LinearThompsonSamplingMAB
0,0.40458001310291836
100,35.51541273339349
200,65.80317898454891
300,92.36695992369205
400,116.3470644504101
500,138.3259599639802
600,159.00192921410172
700,176.41405379759595
800,191.90519134114058
900,207.5440293731579
1000,221.74774459206614
1100,234.90081909378577
1200,247.3636369064298
1300,258.56800578372724
1400,269.0485107721053
1500,279.3576785613142
1600,288.8685043732343
1700,297.9320247689628
1800,307.0762748926908
1900,315.20528788303193
2000,322.8139881232025
2100,330.930130498074
2200,337.8972777994512
2300,344.55842082449834
2400,350.75002570615135
2500,356.66771633886435
2600,363.3449383393728
2700,369.5172709784989
2800,375.00678627124864
2900,379.54380746878803
3000,384.5195812349803
3100,390.09340691623606
3200,395.3574225690941
3300,400.02085740435825
3400,404.12367829407026
3500,408.46627155663634
3600,412.7259958350519
3700,416.8482484257929
3800,421.1627741589021
3900,425.3181130459051
4000,429.71093139110434
4100,433.50772670968945
4200,437.7074032558181
4300,441.1348579647358
4400,444.8446197521601
4500,448.28066542246063
4600,451.5616614745496
4700,454.71042589225755
4800,457.91207983071683
4900,461.241441426249
5000,464.25517743493003
5100,467.7478783166477
5200,470.95738756030926
5300,473.7563587844712
5400,476.95573889553145
5500,480.12315081944473
5600,483.17218293191763
5700,486.11003260201807
5800,488.8874562774248
5900,491.7710606229927
6000,494.49997335351026
6100,497.16965224214
6200,499.66360826567836
6300,502.3148723921536
6400,504.9543860712348
6500,507.22829822205847
6600,509.59971230702433
6700,511.940522985229
6800,514.3330793533785
6900,516.6336321845566
7000,518.5960380679893
7100,520.8038111161311
7200,522.7846453681575
7300,525.0595370310868
7400,526.7789785483853
7500,528.8707210258964
7600,530.4496595044333
7700,532.2271831279359
7800,534.2736679411207
7900,535.8610728457496
8000,537.9518471887849
8100,539.8008979891542
8200,541.8364332429541
8300,543.7064867343506
8400,545.7997082084563
8500,547.2270478546545
8600,549.0448669029787
8700,550.8359879673116
8800,552.9473335649567
8900,554.5154479552336
9000,556.2924936859583
9100,557.9840988375067
9200,560.0890026659051
9300,561.7700417482051
9400,563.5358791349265
9500,564.9482094738339
9600,566.7025116480161
9700,568.0614757925073
9800,569.8983369559419
9900,571.8310444006823
10000,573.3552971602459
10100,574.9841601046498
10200,576.3696027901694
10300,578.0431835182696
10400,579.5346732028044
10500,581.0280555583281
10600,582.8347400650605
10700,584.630148834881
10800,586.2987394742868
10900,587.7794267664365
11000,589.0914903844571
11100,590.5436890808851
11200,591.7004240804455
11300,593.2267230174929
11400,594.4484588824196
11500,596.1049056864006
11600,597.4023684030881
11700,598.6948912273799
11800,600.2003383076733
11900,601.4397456977833
12000,602.9945304223172
12100,604.6715995710248
12200,606.302208753928
12300,607.4513148872908
12400,608.959852536307
