Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.29354310159830954,0.42028568666031685
100,17.65778191663673,14.878991017502113
200,26.777243847989507,23.319222809077157
300,33.969514482080974,30.067063410364984
400,40.6047241114312,36.0666165399687
500,46.64036335365811,41.28939523932667
600,50.868566255663765,46.26233141959066
700,55.24255461019385,51.12458260677833
800,59.52290003132159,55.47594274106325
900,63.599372805638254,60.17653096532374
1000,68.36388585887298,64.38036019246731
1100,72.62224729821105,68.53223196682546
1200,76.46613121711448,72.35540012540439
1300,80.05390144200058,75.65206538256035
1400,83.6076076913,78.94689127610283
1500,87.2364538916226,82.50513960926861
1600,90.83594135689474,86.04481743904064
1700,94.57378413364249,89.35158779806514
1800,98.09115503000015,92.47623182224672
1900,101.51094214490101,95.7238265165483
2000,104.10568924533872,99.2255084691984
2100,107.70142553160981,102.28111074022596
2200,111.28099353799355,105.29169795377634
2300,114.46795403224114,108.97022143730956
2400,117.1620228627786,112.21102594826712
2500,120.35807239322112,114.6216427558508
2600,123.59434475464634,116.83734460687671
2700,126.04641268294299,120.09900958305825
2800,129.4834084883076,123.38293853337908
2900,132.77521101765288,126.62424214031508
3000,135.56127171241718,129.1018281515506
3100,138.95067212449237,131.79974557674373
3200,141.3975004601047,134.10115445448847
3300,144.15248433606212,136.78113777463597
3400,146.995994896375,139.30488184106292
3500,149.83526133261284,142.0276938809574
3600,152.46842231962827,145.59642108652292
3700,155.28969403384207,147.92165718530518
3800,158.68105693144955,150.0716134009975
3900,161.34512952495442,152.717368122145
4000,164.18398927530183,154.92477037713988
4100,167.40888835249152,156.9381326010971
4200,169.57578433366984,159.2826781976732
4300,172.24003346216494,161.55584649937649
4400,175.2862027887805,164.1881635848962
4500,178.35382754022504,166.70307622751432
4600,181.2099622764802,168.65769731352637
4700,183.92158795396085,170.65967361034183
4800,186.4197042777757,172.80965130330716
4900,189.17072294213554,174.44415940402732
5000,191.60230779725993,176.78855941963207
5100,194.09907292171047,178.7616738653813
5200,197.05043348922888,181.0504491804405
5300,200.0309953465117,183.45452078704886
5400,202.61936741727237,185.28462450114347
5500,205.08105540611214,187.16928158107228
5600,207.39987208440144,189.3869948526287
5700,209.95359590588615,191.08125852000856
5800,212.86811264396502,193.07874246344943
5900,215.66965266144797,195.36449314942467
6000,217.99191575658784,197.12097135751307
6100,220.71840670690116,199.4789653569856
6200,222.79084587114025,201.27683572239033
6300,224.70667467559173,203.24501993277076
6400,227.45446178152855,204.95482284614997
6500,229.56319603477453,206.52951707415005
6600,232.36161609558772,208.2024014184169
6700,234.39020538829465,210.25495199636765
6800,236.2676773002854,212.01591790941538
6900,238.33877952309086,214.4246868219853
7000,240.33480384570316,216.11617442016163
7100,242.79050715913596,217.80090188292098
7200,245.15254274052327,219.57274277589946
7300,247.46974573044272,221.31933308769572
7400,250.11643548270746,223.05435598036038
7500,252.2382185287629,225.28401888983734
7600,254.51925913124688,227.62946985208958
7700,256.5325373021805,229.74938846190707
7800,259.5648330778473,231.80211605190024
7900,262.379843016066,232.9426142820182
8000,264.3403928957014,234.75527327344412
8100,266.34097882031017,236.53182568521964
8200,268.62506251121283,238.68040108017672
8300,271.13619506626094,240.15844335831434
8400,273.4431817981764,242.27355766096156
8500,275.52973895058545,243.741474676304
