Time(Iteration),GeneralizedLinearBanditTheta
0,0.9953265404226123
100,0.9966297393661143
200,0.9815038705306047
300,0.9721959688045466
400,0.9691624539828624
500,0.96566775283852
600,0.9653349208278715
700,0.9641344633406101
800,0.9633454261292502
900,0.9629756364624183
1000,0.9627425538818459
1100,0.9617583473880152
1200,0.9614240894357465
1300,0.9610771618375484
1400,0.9603992301698219
1500,0.9614255740022399
1600,0.9613337127181655
1700,0.9609750027886534
1800,0.9610444205464355
1900,0.9611696700866782
2000,0.9608024540577447
2100,0.9603416269494705
2200,0.9603113680752129
2300,0.9604834335634369
2400,0.9602922137839404
2500,0.9602801883767841
2600,0.960255406677567
2700,0.9599939273013192
2800,0.9606457092032071
2900,0.961469302897165
3000,0.9618596117500668
3100,0.9618722781520781
3200,0.9618628055673101
3300,0.9617597185156189
3400,0.9617362420503592
3500,0.9616544393946557
3600,0.9618496411350353
3700,0.9619108976996795
3800,0.9618283191122128
3900,0.961946638271504
4000,0.9612584120814678
4100,0.9617070901786802
4200,0.9617514595714558
4300,0.9617920827873938
4400,0.9618098912913229
4500,0.9617497527216562
4600,0.9616548439416972
4700,0.9613766925014595
4800,0.9613916137526557
4900,0.9614337250062975
5000,0.9613283341004575
5100,0.9613018855301034
5200,0.9619434395575883
5300,0.9620326560570573
5400,0.9620200265010077
5500,0.9619177724465299
5600,0.961923281211677
5700,0.961513029065929
5800,0.9616095882169127
5900,0.9615649988203195
6000,0.9615092833321943
6100,0.9614714902846062
6200,0.9614580956358063
6300,0.9618319905528834
6400,0.961922303512029
6500,0.9619582079213667
6600,0.9619475776530548
6700,0.9619907291326231
6800,0.9620444498670038
6900,0.9620231917766191
7000,0.9620629368839042
7100,0.9620614125289799
7200,0.9619873713695675
7300,0.961855961811138
7400,0.961868599732723
7500,0.9618660257137828
7600,0.9618600538455562
7700,0.9618629738913652
7800,0.9618514014325287
7900,0.961803239724825
8000,0.9616096203878781
8100,0.961630027662344
8200,0.9616398377404737
8300,0.9616439213933287
8400,0.9616389244286495
8500,0.9616399515592869
8600,0.9616518032649009
8700,0.9616503623520746
8800,0.9616508213760188
8900,0.9616597180773635
