Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9753535144538679
100,0.5741637462715247
200,0.4702926259470937
300,0.37597261969552453
400,0.32778676377033394
500,0.3105570056522475
600,0.28358933842378253
700,0.25824677362575127
800,0.2516857239483783
900,0.22645925121250737
1000,0.22291506831815275
1100,0.2018648841892939
1200,0.20141238800417544
1300,0.19467306736655132
1400,0.18333133606035457
1500,0.17727771296878164
1600,0.17428290209534153
1700,0.1644326349647011
1800,0.16215561203829593
1900,0.1590245257833442
2000,0.15646352211155323
2100,0.15078625066664225
2200,0.14803203291574907
2300,0.1452912063613625
2400,0.1444689429587923
2500,0.1440650933123298
2600,0.14436987896431105
2700,0.14247119789477786
2800,0.1416109698016515
2900,0.1414016613107132
3000,0.14003106392502568
3100,0.13734756013693156
3200,0.1371280590735428
3300,0.13460041075069937
3400,0.1338004912670338
3500,0.1336652341021365
3600,0.13504097056098324
3700,0.135121432664452
3800,0.1337516065579433
3900,0.1322652263082042
4000,0.13107223989985312
4100,0.12966817537838476
4200,0.12990891527692608
4300,0.12666481612119837
4400,0.12553196710317133
4500,0.12341604838501422
4600,0.12249076424929575
4700,0.12175021790281453
4800,0.1216824869461461
4900,0.1206042962181499
5000,0.12099008900171622
5100,0.1189971251982979
5200,0.11835614209392482
5300,0.11725117123739714
5400,0.11594738806525876
5500,0.11368582515961975
5600,0.1129460177594559
5700,0.11284668118046555
5800,0.11161651028058454
5900,0.11006164046825224
6000,0.11013258795497143
6100,0.10884873734168621
6200,0.1084582856835481
6300,0.10717327146282955
6400,0.10680848744678655
6500,0.10711857279461837
6600,0.10706634354913132
6700,0.1069407616777236
6800,0.10752414617479575
6900,0.10810074869206945
7000,0.10656348960554318
7100,0.1065866118456829
7200,0.10574664810183118
7300,0.10500907153066416
7400,0.10476575687164887
7500,0.10455877797409832
7600,0.10419624457236007
7700,0.10392356475346029
7800,0.1035269875195384
7900,0.1031289356830591
8000,0.1026764035017885
8100,0.10279183286132816
8200,0.10251474185710337
8300,0.10269692411801731
8400,0.10254024011170856
8500,0.1022815853912266
8600,0.10124929801706521
8700,0.10085738102749238
8800,0.10024353247162425
8900,0.1002477855343604
9000,0.09915117520755345
9100,0.09831508991057791
9200,0.09795358029497916
9300,0.09776898019179028
9400,0.0967221079608335
9500,0.09581341202388573
9600,0.0947359394341476
9700,0.09407911612226806
9800,0.09416996191148984
9900,0.09340935765407729
10000,0.09244695936772301
10100,0.09194513666135246
10200,0.09109050116734405
10300,0.09104483219483248
10400,0.09061439665089818
10500,0.09070277895101389
10600,0.09097906703673267
10700,0.09031773538452466
10800,0.0898631343159039
10900,0.09019197592335484
11000,0.0897844351120819
11100,0.08928289826933201
11200,0.08978820719691606
11300,0.08952595593183563
11400,0.08905405391987378
11500,0.08873165926998389
11600,0.08804902235881511
11700,0.08775995187826735
11800,0.08747800187996496
11900,0.08739972784424785
12000,0.0863457238971421
12100,0.08682725442767683
12200,0.0869731383042838
12300,0.08637079591252862
12400,0.08592079839911429
12500,0.0859645232780438
12600,0.08586269080290171
12700,0.08544972490083941
12800,0.0858269602171219
12900,0.08510480268287178
13000,0.0856086415684399
13100,0.085259723421103
13200,0.08508240687694404
13300,0.08412185229158621
13400,0.08443258821342373
13500,0.08439010282522516
13600,0.08366475120430081
13700,0.0835545252101331
13800,0.08334596817903418
13900,0.08321326256875108
14000,0.08306633782828535
14100,0.08329800307896196
14200,0.08343266194959219
14300,0.08319580804626531
14400,0.08313164665477413
14500,0.08265496021986059
14600,0.08231464702194034
14700,0.08124470483225713
14800,0.08076730547657654
14900,0.08041632420012537
15000,0.08073963631930473
15100,0.08037920158667634
15200,0.08030621916763614
15300,0.08025336312397761
15400,0.0801870349230077
15500,0.07991418986269962
15600,0.0789346120739667
15700,0.07912589488970857
15800,0.07933020863652414
15900,0.0793358068838516
16000,0.07923087834226201
16100,0.07942261074712784
16200,0.0792135799093584
16300,0.07822505086475177
16400,0.07748268792827409
16500,0.07767926989282872
16600,0.07760444810857149
16700,0.07726159344436676
16800,0.07695464669675124
16900,0.07669514408082377
17000,0.07715795959845657
17100,0.07751499238271334
17200,0.07660306152490365
17300,0.07642442230078268
17400,0.07576822100135977
17500,0.0763928767993695
17600,0.0759158847063276
17700,0.07578625101032886
17800,0.07519736798331353
17900,0.07473506268371848
18000,0.07462921258824036
18100,0.07451378176571624
