Time(Iteration),ExplorethenCommit
0,0.37821527333726196
100,39.88182402352599
200,77.83758151070943
300,115.95707299103844
400,154.04810387851336
500,192.29926130005444
600,192.4574725219276
700,192.4831426872669
800,192.49623447158996
900,192.51779741047497
1000,192.54346757581428
1100,192.56913774115358
1200,192.5948079064929
1300,192.6204780718322
1400,192.6461482371715
1500,192.6718184025108
1600,192.69748856785012
1700,192.72315873318942
1800,192.74882889852873
1900,192.77449906386803
2000,192.80016922920734
2100,192.82583939454665
2200,192.85150955988595
2300,192.87717972522526
2400,192.90284989056457
2500,192.92852005590387
2600,192.95419022124318
2700,192.9798603865825
2800,193.0055305519218
2900,193.0312007172611
3000,193.0568708826004
3100,193.0825410479397
3200,193.10821121327902
3300,193.13388137861833
3400,193.15955154395763
3500,193.18522170929694
3600,193.21089187463625
3700,193.23656203997555
3800,193.26223220531486
3900,193.28790237065417
4000,193.31357253599347
4100,193.33924270133278
4200,193.36491286667209
4300,193.3905830320114
4400,193.4162531973507
4500,193.44192336269
4600,193.4675935280293
4700,193.49326369336862
4800,193.51893385870792
4900,193.54460402404723
5000,193.57027418938654
5100,193.59594435472584
5200,193.62161452006515
5300,193.64728468540446
5400,193.67295485074376
5500,193.69862501608307
5600,193.72429518142238
5700,193.74996534676168
5800,193.775635512101
5900,193.8013056774403
6000,193.8269758427796
6100,193.8526460081189
6200,193.87831617345822
6300,193.90398633879752
6400,193.92965650413683
6500,193.95532666947614
6600,193.98099683481544
6700,194.00666700015475
6800,194.03233716549406
6900,194.05800733083336
7000,194.08367749617267
7100,194.10934766151198
7200,194.13501782685128
7300,194.1606879921906
7400,194.1863581575299
7500,194.2120283228692
7600,194.2376984882085
7700,194.26336865354781
7800,194.28903881888712
7900,194.31470898422643
8000,194.34037914956573
8100,194.36604931490504
8200,194.39171948024435
8300,194.41738964558365
8400,194.44305981092296
8500,194.46872997626227
8600,194.49440014160157
8700,194.52007030694088
8800,194.5457404722802
8900,194.5714106376195
9000,194.5970808029588
9100,194.6227509682981
9200,194.6484211336374
9300,194.67409129897672
9400,194.69976146431603
9500,194.72543162965533
9600,194.75110179499464
9700,194.77677196033395
9800,194.80244212567325
9900,194.82811229101256
10000,194.85378245635187
10100,194.87945262169117
10200,194.90512278703048
10300,194.93079295236979
10400,194.9564631177091
10500,194.9821332830484
10600,195.0078034483877
10700,195.033473613727
10800,195.05914377906632
10900,195.08481394440562
11000,195.11048410974493
11100,195.13615427508424
11200,195.16182444042354
11300,195.18749460576285
11400,195.21316477110216
11500,195.23883493644146
11600,195.26450510178077
11700,195.29017526712008
11800,195.31584543245938
11900,195.3415155977987
12000,195.367185763138
12100,195.3928559284773
12200,195.4185260938166
12300,195.44419625915592
12400,195.46986642449522
12500,195.49553658983453
12600,195.52120675517384
12700,195.54687692051314
12800,195.57254708585245
12900,195.59821725119176
13000,195.62388741653106
13100,195.64955758187037
13200,195.67522774720968
13300,195.70089791254898
13400,195.7265680778883
13500,195.7522382432276
13600,195.7779084085669
13700,195.8035785739062
13800,195.82924873924551
13900,195.85491890458482
