Time(Iteration),LinearUCBBandit
0,0.42728919045843383
100,34.8859560518676
200,63.60651565024377
300,88.99172466129278
400,111.23863766137842
500,130.94609686408052
600,148.47282299800523
700,163.44988055749192
800,177.17145584998087
900,189.6296852376432
1000,200.8911618927229
1100,210.6438466997697
1200,219.49606293029757
1300,227.87307430079295
1400,234.94542106977724
1500,241.7072071559307
1600,248.47612419310508
1700,254.26193907781143
1800,259.6008134189747
1900,264.3223050746716
2000,267.92856542575464
2100,272.5608610012854
2200,277.3190072566746
2300,281.2663645397623
2400,284.6725929765704
2500,288.3513018537408
2600,292.03212309402954
2700,295.6819991582866
2800,298.6397084261131
2900,301.12078369889264
3000,303.75194509209314
3100,306.7648564046304
3200,309.18895993486075
3300,311.5863482261151
3400,313.94588890321177
3500,316.4357803188298
3600,318.357164010719
3700,320.9831859828071
3800,323.18177019176966
3900,325.8036449578453
4000,327.79908320123593
4100,329.81774919554823
4200,331.7860805050177
4300,333.5068259252747
4400,335.5294963945847
4500,336.8191095931366
4600,338.5658806506205
4700,339.88076567150625
4800,341.627277927225
4900,343.16883460958354
5000,344.61984151737175
5100,346.0408938267361
5200,347.74069648278834
5300,349.0550075151316
5400,350.25079463937493
5500,351.83679326112014
5600,353.10979828609663
5700,353.8453061232136
5800,354.6284614840761
5900,356.0110474253345
6000,356.97896857026024
6100,358.22935527031194
6200,359.5261541879197
6300,360.59636765387916
6400,362.0323392815
6500,362.8508062179558
6600,363.5452627457918
6700,364.76803440065044
6800,365.37542985504194
6900,366.34113111121536
7000,367.41873523242367
7100,368.295752436986
7200,369.13844908746
7300,369.97049161744997
7400,370.8549184305724
7500,371.671478382927
7600,372.57365161553355
7700,373.5250825155104
7800,374.29768799583707
7900,375.52855472926274
8000,376.3412799687891
8100,377.1950015306107
8200,377.6767786127287
8300,378.4628863021298
8400,378.97113905206766
8500,379.71980143681554
8600,380.4758091631692
8700,381.016815539558
8800,381.86348840275093
8900,382.4725038283829
9000,383.2961288409164
9100,383.8730424970382
9200,384.60995561923426
9300,385.01815302535164
9400,385.5246602914173
9500,385.9268129544106
9600,386.53636130428254
9700,387.0198904089658
9800,387.5806034614294
9900,388.2085967757206
10000,388.48458061257077
10100,388.8426876807545
10200,389.473334556516
10300,390.2813948790282
10400,390.8732583753186
10500,391.564368094774
10600,392.1287551704993
10700,392.81481904804986
10800,393.39664219926937
10900,394.29142904448634
11000,394.8396386320757
11100,395.1968192686207
11200,395.7341178789465
11300,396.1391705517849
11400,396.6281121579899
11500,397.06998639538665
11600,397.43078523993665
11700,398.02375508670684
11800,398.5026423216048
11900,398.9456506240457
12000,399.70728563487273
12100,400.22776417737117
12200,400.49696447344553
12300,400.7899966210202
12400,401.221949073822
12500,401.58730386065645
12600,402.00068215717357
12700,402.46094879135256
12800,402.8074341087022
12900,403.4076184080555
13000,403.9517948884867
13100,404.3030256845681
13200,404.9277474783272
13300,405.2198095280884
13400,405.73208103404073
13500,406.02810729354223
13600,406.32211240823386
13700,406.68187417618185
13800,406.9357938841638
13900,407.313931667943
14000,407.57886321493515
14100,407.92845305023445
14200,408.15484988722034
14300,408.4745827829851
14400,408.64106140697083
14500,408.9416384724802
14600,408.99231833787223
14700,409.6527365130065
14800,410.0499099906024
14900,410.4043969933685
15000,410.70778967675034
15100,411.12099780063517
15200,411.4299240627005
15300,411.5994491381468
15400,412.0491201201391
15500,412.4239613614691
15600,412.9143681629498
15700,413.29840283877985
15800,413.51677354115526
15900,413.7501926130186
16000,414.1494670157751
16100,414.29728454052804
16200,414.6737474577209
16300,414.85406174899526
16400,415.23054585110424
16500,415.44954535367697
16600,415.8811048499582
16700,416.35429977940294
16800,416.67820010758487
16900,416.9575268971095
17000,417.1127535399408
17100,417.3333577797454
17200,417.5415972589252
