Time(Iteration),LinearUCBBandit
0,0.40377746470417913
100,36.69514580441188
200,66.10253243758403
300,89.87223949821211
400,110.33377672876618
500,127.35516321094067
600,141.94292284776833
700,154.86487085606512
800,165.6289675932446
900,175.63614763541025
1000,184.39622101860624
1100,192.441571344036
1200,199.59907213517585
1300,206.1374478643259
1400,211.8525612473254
1500,217.14951922735108
1600,222.1271077585174
1700,225.90829676792563
1800,230.14302847281274
1900,234.12789728970407
2000,238.03178443461064
2100,241.79881640965476
2200,244.95491009571802
2300,247.6969518816703
2400,250.55673180398372
2500,253.18127811261238
2600,255.8457468697556
2700,258.2361263925851
2800,260.2837912040801
2900,263.22491339397624
3000,265.54745305383665
3100,267.7086807169036
3200,270.2022444264313
3300,272.4286107273184
3400,274.25210724689987
3500,275.9392698678326
3600,277.8332698542418
3700,280.0133048692013
3800,281.58142756824503
3900,283.4246872755764
4000,285.15130884606725
4100,286.9220948299122
4200,288.29134776071027
4300,289.7424772000394
4400,291.24224113982376
4500,292.57862174728126
4600,293.48077694997795
4700,294.6199546352538
4800,295.92062300278843
4900,297.15151975525896
5000,298.319886226233
5100,299.47315941966133
5200,300.5557500993576
5300,301.97088363978474
5400,302.94853445384877
5500,303.8653956419274
5600,304.7091492972286
5700,305.1516523318221
5800,305.827525735123
5900,306.53436173188135
6000,307.5204990805694
6100,308.58233095472315
6200,309.6386298824918
6300,310.0908238813285
6400,311.01102016523305
6500,311.60085394206715
6600,312.32883444580204
6700,312.9090239265587
6800,313.65878523450044
6900,314.693129466212
7000,315.3110290815619
7100,315.98102143097907
7200,316.6232631133825
7300,317.6909036069709
7400,318.5854584192995
7500,319.3728812284348
7600,320.005194468032
7700,320.91595216481034
7800,321.6803228929242
7900,322.34468923506233
8000,323.25752669349936
8100,323.81198614488204
8200,324.4705743284493
8300,324.77595796297913
8400,325.31700184232614
8500,325.84291538097716
8600,326.49818570937543
8700,326.89180631067677
8800,327.14065087810496
8900,327.7392346037037
9000,328.2932988544129
9100,328.8545324312476
9200,329.3471899487232
9300,329.7250091889321
9400,330.2485183284058
9500,330.72444915999455
9600,331.25301368560605
9700,331.58921775789366
9800,332.1002997068948
9900,332.53868918630627
10000,333.16460428239736
10100,333.78860338391246
10200,334.32031691113764
10300,334.6295710247076
10400,334.86356708533884
10500,335.4440562936592
10600,336.2666287439052
10700,336.7699572448886
10800,337.1944844676776
10900,337.54291744559094
11000,338.0265350814201
11100,338.5294125115996
11200,338.85488425189794
11300,339.1612214337509
11400,339.53665711176967
11500,339.96239952952413
11600,340.4097661230705
11700,340.83328401998153
11800,341.03574212583743
11900,341.5606093787905
12000,341.8992697624727
12100,342.09363932172255
12200,342.3569774488935
12300,342.7965094693951
12400,343.0508255734411
12500,343.6032826693116
12600,344.1326792230766
12700,344.3171640945999
12800,344.46858779760294
12900,344.79585674349613
13000,345.13165941184116
13100,345.5070909371192
13200,345.74047320198275
13300,345.93866694604714
13400,346.3090075133947
13500,346.53842522897844
13600,346.88789374484315
13700,347.00388109605353
13800,347.22005401027496
13900,347.51915305859563
14000,347.6309955565023
14100,347.8982369046141
14200,348.0822626868063
14300,348.3726731959456
14400,348.54918028139537
14500,348.6686801890309
14600,348.87127964520187
14700,349.2711806633047
14800,349.4379945199702
14900,349.7613671322783
15000,350.35434156103054
15100,350.754421803803
15200,351.0164793411826
