Time(Iteration),GeneralizedLinearBandit
52400,3456.312153871597
52500,3459.432566012114
52600,3462.770156844522
52700,3465.9080564421483
52800,3469.1576101705346
52900,3472.9530097147654
53000,3476.52193538132
53100,3479.3976723396313
53200,3482.3360117991833
53300,3485.864774602394
53400,3489.1552559225065
53500,3492.094849866395
53600,3495.14859509823
53700,3498.246028541214
53800,3501.2190931311693
53900,3504.2960096758493
54000,3507.956764522243
54100,3510.6692865680425
54200,3514.592487430457
54300,3517.8736198274937
54400,3521.538112426834
54500,3524.962222024632
54600,3528.251516057536
54700,3531.2559848066076
54800,3534.137884342672
54900,3537.645417703186
55000,3541.214342590241
55100,3544.6861620047152
55200,3547.3837550628223
55300,3550.1340315485677
55400,3553.0158294717126
55500,3556.3598048015438
55600,3559.442609521383
55700,3561.801869284677
55800,3564.52278598296
55900,3567.028996159991
56000,3569.985954010727
56100,3572.9550292606655
56200,3576.1124886598686
56300,3579.738671655146
56400,3583.118863370665
56500,3586.018964260682
56600,3589.114478953664
56700,3592.4523565238715
56800,3595.4441763407995
56900,3598.614802515944
57000,3601.599835261969
57100,3604.5669005722143
57200,3607.7267175497946
57300,3611.0206397574643
57400,3613.7819454748023
57500,3617.2033442117054
57600,3620.4034737341963
57700,3623.4910099432154
57800,3627.230465650231
57900,3630.1797396861766
58000,3632.9698162123073
58100,3636.267095469132
58200,3639.3201008847186
58300,3642.7347385362846
58400,3645.781942997305
58500,3649.550872581326
58600,3652.5084928395977
58700,3655.0445054176657
58800,3657.815554133871
58900,3660.858582974869
59000,3663.601121251042
59100,3666.3540188011984
59200,3670.1921816135937
59300,3673.209745635242
59400,3675.394915408158
59500,3678.4104808248144
59600,3681.286506109705
59700,3684.3862089498157
59800,3686.6960930675145
59900,3689.683337061273
60000,3692.970133805222
60100,3695.358438573461
60200,3698.091634269628
60300,3701.5854567679717
60400,3704.893500986388
60500,3707.30846858532
60600,3709.9366933416436
60700,3713.299875006944
60800,3715.723299517101
60900,3718.4894286560652
61000,3721.799216716891
61100,3724.658322876956
61200,3728.320187930183
61300,3730.8202653636095
61400,3733.2765092894538
61500,3736.4207309407707
61600,3739.3942087185474
61700,3741.680768327071
61800,3744.0021439069774
61900,3746.150573530119
62000,3748.302090058889
62100,3750.9140018001244
62200,3753.222378355079
62300,3756.108349931144
62400,3758.817139064728
62500,3761.283942540408
62600,3764.3024153685647
62700,3766.7381199285182
62800,3769.201394335128
62900,3771.8282253292555
63000,3774.8801272098194
63100,3777.548438820971
63200,3780.6255172180486
63300,3782.337830926406
