Time(Iteration),EpsilonGreedyMultiArmedBandit
0,0.3608272269821079
100,14.49992595669374
200,22.794822076201104
300,31.25652918127036
400,40.14520437279423
500,48.42139107980902
600,55.29833301327501
700,62.21412599043597
800,68.07205269597492
900,72.96206314113677
1000,77.92500352267258
1100,82.34528226794237
1200,87.08581891031676
1300,91.60645506509323
1400,95.54188164213912
1500,99.29275497698693
1600,103.15622120513069
1700,107.15750734357118
1800,110.97159106598477
1900,114.93747692280115
2000,119.35928248726933
2100,123.89736132771402
2200,128.14736079687174
2300,132.05396338845566
2400,135.7628182232654
2500,139.97038362529526
2600,143.74059001372606
2700,147.5787731231144
2800,152.13744803453687
2900,155.73164790380187
3000,160.0899435559296
3100,164.74058206013842
3200,168.9567861232486
3300,172.38604497411168
3400,176.79267849314573
3500,181.17584646921097
3600,185.80099029263198
3700,189.40062502472415
3800,194.5032106160316
3900,198.5715074522972
4000,203.2317525415689
4100,207.11834189266241
4200,210.48048896026802
4300,214.04654253651643
4400,218.13493033537256
4500,222.55234290047147
4600,226.66381866246724
4700,229.90299400274253
4800,233.53998569254833
4900,237.3654201418496
5000,241.4839237810956
5100,245.1238992544799
5200,248.94810699494693
5300,253.1800084933373
5400,257.2541954378488
5500,260.6775224330644
5600,264.3286097235009
5700,268.40908832611535
5800,272.2739859011948
5900,276.5483417364298
6000,280.60826968517347
6100,284.33219561439483
6200,288.6231241904008
6300,292.4482137891246
6400,296.27774273240414
6500,299.7889438577503
6600,303.1557318536522
6700,307.5748442114074
6800,311.96590269784195
6900,315.8321724902022
7000,319.69411559008597
7100,323.7434838934528
7200,327.9521488043374
7300,331.3700358080074
7400,335.85719820074934
7500,340.3482592393414
7600,344.1913299119234
7700,347.45197360951727
7800,351.2668475171001
7900,355.0495184739764
8000,358.9077105261427
8100,362.9967276464914
8200,367.57708952436917
8300,371.4891863530095
8400,375.9640613621354
8500,379.1916620172789
8600,383.2582464230316
8700,387.2598908973834
8800,391.72493481873335
8900,395.75767951129876
9000,399.6807731970531
9100,403.1064146853331
9200,406.3839071676323
9300,409.97949221804566
9400,414.39837488694286
9500,418.3771923742057
9600,422.2745144828085
9700,426.34545732401875
9800,429.9680374500841
9900,433.73339961732955
10000,437.31028100268685
10100,441.17310239230466
10200,444.8899889711464
10300,448.7358287791856
10400,452.4594158230951
10500,455.86852283350726
10600,459.25555326473966
10700,462.37965665427635
10800,466.287535268625
10900,470.22402962136323
11000,473.6846119229607
11100,476.3617890670931
11200,479.9574241371007
11300,484.01108782276987
11400,487.7303165364985
11500,492.18158574533084
11600,495.7217800236268
11700,499.91381373489884
11800,503.2282993654815
11900,506.5897434243728
12000,509.94947697891575
12100,513.479230647906
12200,517.5539258321122
12300,522.0979295971238
12400,526.3193306419853
12500,529.5186857378965
12600,532.9199525584515
12700,536.8045231391309
12800,540.0494243793844
12900,543.4737471482729
13000,547.499771982253
13100,551.4927432289808
13200,556.1295468810985
13300,560.0384863272207
13400,563.801955821421
13500,567.3448174246461
13600,571.0460704965512
13700,575.2264032148262
13800,579.0075719539548
13900,582.6284738952086
14000,586.8692388521446
14100,590.6172013161847
14200,594.3089222322224
14300,598.1933475391986
14400,602.0676399652601
14500,606.2741734408273
14600,610.2909708858402
14700,615.1837881032544
14800,618.8748429898023
14900,622.8696112773939
15000,626.5339834193917
15100,630.2543585591325
15200,634.4494334336639
15300,637.773333426059
15400,641.6262279778384
15500,645.854520267819
15600,650.6762259400243
15700,654.6786604157903
15800,658.18217045388
15900,662.2522969758327
16000,665.3945549516569
16100,669.2860281583514
16200,672.819199382234
16300,676.8668648396339
16400,680.620460089753
16500,684.5090850701408
16600,688.8796403582406
16700,692.3562272932152
16800,696.018668233669
16900,699.7835022382747
17000,704.2698390829256
17100,708.5258062848305
17200,712.3670865955147
17300,717.1292086157739
17400,720.6639224599943
17500,724.063126828385
17600,728.0933310036926
17700,732.0013171579789
17800,735.9881237732766
17900,739.293504273747
18000,743.0114314699642
18100,747.1002340944312
18200,750.4851796812155
18300,754.9993278641089
18400,759.3297586564889
18500,762.9836889492419
18600,766.6748941740335
18700,770.7074521953878
18800,774.4785147159927
18900,778.9210744494711
19000,782.812300270008
19100,787.1633616178274
19200,791.2515993872887
19300,794.2369939932319
19400,798.5801096398616
19500,802.7500741578548
19600,806.2375832146029
19700,809.8878227509174
19800,813.7440746586195
19900,817.9012108210699
20000,821.5230011486763
20100,825.1933714852721
20200,828.8753716367701
20300,832.020776131218
