Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9899331978659406
100,0.6000482749788727
200,0.49593212448052226
300,0.43792559121783114
400,0.40413745084649
500,0.32754056248566066
600,0.28506813972750644
700,0.25024183122339166
800,0.23597719998780234
900,0.21915891935610743
1000,0.20693660718640108
1100,0.2090654638073181
1200,0.20952966122160385
1300,0.20389678028391192
1400,0.20188081638000105
1500,0.19365140570297185
1600,0.19455254811413622
1700,0.1891448601515538
1800,0.18736088728309802
1900,0.18469610329212802
2000,0.17979684231045176
2100,0.17651577026137827
2200,0.16716954043226362
2300,0.16440568503242456
2400,0.15897544395953822
2500,0.1532152482129896
2600,0.15013290487120243
2700,0.14850332726319077
2800,0.147811300094923
2900,0.14690408358430504
3000,0.144262102471793
3100,0.13923027510392588
3200,0.13892096605563659
3300,0.13778555676826526
3400,0.13569800600617798
3500,0.13214288110583344
3600,0.13104773555710708
3700,0.12890754491736583
3800,0.12587514415524778
3900,0.12308580135619192
4000,0.12154561825874428
4100,0.11965244254742842
4200,0.11929921830450443
4300,0.11785565132016063
4400,0.11698077672734117
4500,0.11744577660444237
4600,0.11677273148403067
4700,0.11647727147872322
4800,0.11596804980659121
4900,0.11372410397555424
5000,0.1142747134056534
5100,0.11323260562836382
5200,0.11308249088758318
5300,0.1111595654222028
5400,0.1102589142669617
5500,0.10896696733001607
5600,0.10813691739108011
5700,0.10746382424021568
5800,0.10660185507819693
5900,0.10595233579848322
6000,0.10627812966980185
6100,0.10480021107020303
6200,0.10398972602229387
6300,0.10353667279671323
6400,0.10213487138854234
6500,0.10226645521881321
6600,0.10225947155173994
6700,0.10070061435371766
6800,0.10087083877078176
6900,0.10004404801925493
7000,0.09866074905668457
7100,0.09799561436520392
7200,0.09726102670491359
7300,0.09617607233319346
7400,0.09638739621515995
7500,0.09680730313904534
7600,0.0970629874852684
7700,0.09742349920801513
7800,0.0973863944712465
7900,0.09718232993728942
8000,0.09668870966586854
8100,0.0961765868350632
8200,0.0963235727946982
8300,0.09520380534108999
8400,0.09376358884389487
8500,0.09309287730103945
8600,0.09215543298648843
8700,0.09205828298540514
8800,0.09110760031070855
8900,0.09051434731391131
9000,0.09040702323290281
9100,0.08956647675235982
9200,0.08971732615752907
9300,0.08951973369491943
9400,0.08884109360821245
9500,0.0880566531844256
9600,0.08812452919170591
9700,0.08798223214832687
9800,0.08736256173932216
9900,0.08765519055023864
10000,0.0877657170920623
10100,0.0878924867460477
10200,0.08732827030319841
10300,0.08631815014942251
10400,0.08642165983611823
10500,0.08722500651605551
10600,0.0874807873288703
10700,0.08692499331336817
10800,0.08590094240716847
10900,0.08543877190588724
11000,0.08457250065801683
11100,0.08396187198658245
11200,0.08378023815048533
11300,0.0839470899464227
11400,0.08335429043027542
11500,0.08355744855611914
11600,0.08371988826214333
11700,0.08317269437688066
11800,0.08322257595978474
11900,0.08228869275531961
12000,0.08257717887647333
12100,0.08233453254237885
12200,0.0820267799415518
12300,0.08163639664957248
12400,0.08175690008707688
12500,0.08150623941971141
12600,0.08099794742310493
12700,0.08091950653662747
12800,0.08092744202708221
12900,0.08082191969567244
13000,0.08000666593921815
13100,0.0795083110134229
13200,0.07884870708956315
13300,0.07930924039706012
13400,0.07891748483286057
13500,0.07876807739922889
13600,0.07919886204248577
13700,0.07883870086342096
13800,0.0793710964174992
13900,0.07939033289351849
14000,0.07951392875924093
14100,0.07980341201616734
14200,0.07954570554735911
14300,0.07993518316064918
14400,0.0797308428825977
14500,0.07991546644659218
14600,0.07893225095295145
14700,0.07924443833689228
14800,0.07915334889351736
14900,0.07881515968336612
15000,0.07889994472486948
15100,0.078356930249827
15200,0.07778789799652863
15300,0.07724764621209305
15400,0.07665220115608193
15500,0.07621505074637963
15600,0.07562265851038419
15700,0.07556437984926603
15800,0.07541770170580639
15900,0.07551576141995375
16000,0.07556824331904868
16100,0.07545511360769949
16200,0.07523450913046789
16300,0.07540462446296968
16400,0.07530353754841464
16500,0.07474669769292211
16600,0.0742907105317853
