Time(Iteration),ExplorethenCommit
0,0.40005834014406594
100,39.372985237921284
200,79.07546012187264
300,118.18525387481604
400,156.97561410608878
500,195.98743004656234
600,235.57678747042664
700,245.70097129244272
800,245.90624360185114
900,246.11151591125957
1000,246.316788220668
1100,246.52206053007643
1200,246.72733283948486
1300,246.9326051488933
1400,247.13787745830172
1500,247.34314976771014
1600,247.54842207711857
1700,247.753694386527
1800,247.95896669593543
1900,248.16423900534386
2000,248.3695113147523
2100,248.57478362416072
2200,248.78005593356914
2300,248.98532824297757
2400,249.190600552386
2500,249.39587286179443
2600,249.60114517120286
2700,249.8064174806113
2800,250.01168979001972
2900,250.21696209942814
3000,250.42223440883657
3100,250.627506718245
3200,250.83277902765343
3300,251.03805133706186
3400,251.2433236464703
3500,251.44859595587872
3600,251.65386826528714
3700,251.85914057469557
3800,252.064412884104
3900,252.26968519351243
4000,252.47495750292086
4100,252.6802298123293
4200,252.88550212173772
4300,253.09077443114614
4400,253.29604674055457
4500,253.501319049963
4600,253.70659135937143
4700,253.91186366877986
4800,254.1171359781883
4900,254.32240828759672
5000,254.52768059700514
5100,254.73295290641357
5200,254.938225215822
5300,255.14349752523043
5400,255.34876983463886
5500,255.5540421440473
5600,255.75931445345572
5700,255.96458676286414
5800,256.1698590722726
5900,256.375131381681
6000,256.58040369108943
6100,256.78567600049786
6200,256.9909483099063
6300,257.1962206193147
6400,257.40149292872314
6500,257.6067652381316
6600,257.81203754754
6700,258.01730985694843
6800,258.22258216635686
6900,258.4278544757653
7000,258.6331267851737
7100,258.83839909458214
7200,259.0436714039906
7300,259.248943713399
7400,259.45421602280743
7500,259.65948833221586
7600,259.8647606416243
7700,260.0700329510327
7800,260.27530526044114
7900,260.4805775698496
8000,260.685849879258
8100,260.89112218866643
8200,261.09639449807486
8300,261.3016668074833
8400,261.5069391168917
8500,261.71221142630014
8600,261.9174837357086
8700,262.122756045117
8800,262.32802835452543
8900,262.53330066393386
9000,262.7385729733423
9100,262.9438452827507
9200,263.14911759215914
9300,263.3543899015676
9400,263.559662210976
9500,263.76493452038443
9600,263.97020682979286
9700,264.1754791392013
9800,264.3807514486097
9900,264.58602375801814
10000,264.7912960674266
10100,264.996568376835
10200,265.20184068624343
10300,265.40711299565186
10400,265.6123853050603
10500,265.8176576144687
10600,266.02292992387714
10700,266.2282022332856
10800,266.433474542694
10900,266.63874685210243
11000,266.84401916151086
11100,267.0492914709193
11200,267.2545637803277
11300,267.45983608973614
11400,267.6651083991446
11500,267.870380708553
11600,268.07565301796143
11700,268.28092532736986
11800,268.4861976367783
11900,268.6914699461867
12000,268.89674225559514
12100,269.10201456500357
12200,269.307286874412
12300,269.51255918382043
12400,269.71783149322886
12500,269.9231038026373
12600,270.1283761120457
12700,270.33364842145414
12800,270.53892073086257
12900,270.744193040271
13000,270.94946534967943
13100,271.15473765908786
13200,271.3600099684963
13300,271.5652822779047
13400,271.77055458731314
13500,271.97582689672157
13600,272.18109920613
13700,272.3863715155384
13800,272.59164382494686
13900,272.7969161343553
14000,273.0021884437637
14100,273.20746075317214
14200,273.41273306258057
14300,273.618005371989
14400,273.8232776813974
14500,274.02854999080586
14600,274.2338223002143
14700,274.4390946096227
14800,274.64436691903114
14900,274.84963922843957
15000,275.054911537848
15100,275.2601838472564
15200,275.46545615666486
15300,275.6707284660733
15400,275.8760007754817
15500,276.08127308489014
15600,276.28654539429857
15700,276.491817703707
15800,276.6970900131154
15900,276.90236232252386
16000,277.1076346319323
16100,277.3129069413407
16200,277.51817925074914
16300,277.72345156015757
16400,277.928723869566
16500,278.1339961789744
16600,278.33926848838286
16700,278.5445407977913
16800,278.7498131071997
16900,278.95508541660814
17000,279.16035772601657
17100,279.365630035425
17200,279.5709023448334
17300,279.77617465424186
17400,279.9814469636503
17500,280.1867192730587
17600,280.39199158246714
17700,280.59726389187557
17800,280.802536201284
17900,281.0078085106924
18000,281.21308082010086
18100,281.4183531295093
18200,281.6236254389177
18300,281.82889774832614
18400,282.03417005773457
18500,282.239442367143
18600,282.4447146765514
18700,282.64998698595986
18800,282.8552592953683
18900,283.0605316047767
19000,283.26580391418514
19100,283.47107622359357
19200,283.676348533002
19300,283.8816208424104
19400,284.08689315181886
19500,284.2921654612273
19600,284.4974377706357
19700,284.70271008004414
19800,284.90798238945257
19900,285.113254698861
20000,285.3185270082694
20100,285.52379931767786
20200,285.7290716270863
20300,285.9343439364947
20400,286.13961624590314
20500,286.34488855531157
20600,286.55016086472
20700,286.7554331741284
20800,286.96070548353686
20900,287.1659777929453
21000,287.3712501023537
21100,287.57652241176214
21200,287.78179472117057
21300,287.987067030579
21400,288.1923393399874
21500,288.39761164939586
21600,288.6028839588043
21700,288.8081562682127
21800,289.01342857762114
21900,289.21870088702957
22000,289.423973196438
22100,289.6292455058464
22200,289.83451781525486
22300,290.0397901246633
22400,290.2450624340717
22500,290.45033474348014
22600,290.65560705288857
22700,290.860879362297
22800,291.0661516717054
22900,291.27142398111386
23000,291.4766962905223
23100,291.6819685999307
23200,291.88724090933914
23300,292.09251321874757
23400,292.297785528156
23500,292.5030578375644
23600,292.70833014697286
23700,292.9136024563813
23800,293.1188747657897
23900,293.32414707519814
24000,293.52941938460657
24100,293.734691694015
24200,293.9399640034234
24300,294.14523631283186
24400,294.3505086222403
24500,294.5557809316487
24600,294.76105324105714
24700,294.96632555046557
24800,295.171597859874
24900,295.3768701692824
25000,295.58214247869086
25100,295.7874147880993
25200,295.9926870975077
25300,296.19795940691614
25400,296.40323171632457
25500,296.608504025733
25600,296.8137763351414
25700,297.01904864454985
25800,297.2243209539583
25900,297.4295932633667
26000,297.63486557277514
26100,297.84013788218357
26200,298.045410191592
26300,298.2506825010004
26400,298.45595481040885
26500,298.6612271198173
26600,298.8664994292257
26700,299.07177173863414
26800,299.27704404804257
26900,299.482316357451
27000,299.6875886668594
27100,299.89286097626785
27200,300.0981332856763
27300,300.3034055950847
27400,300.50867790449314
27500,300.71395021390157
27600,300.91922252331
27700,301.1244948327184
27800,301.32976714212685
27900,301.5350394515353
28000,301.7403117609437
28100,301.94558407035214
28200,302.15085637976057
28300,302.356128689169
28400,302.5614009985774
28500,302.76667330798585
28600,302.9719456173943
28700,303.1772179268027
28800,303.38249023621114
28900,303.58776254561957
