Time(Iteration),GeneralizedLinearBandit
0,0.1880943711345235
100,19.220981698288263
200,37.57016833103184
300,55.13620407284276
400,71.96028379198165
500,88.50764072146967
600,105.00418337149213
700,120.8259675423958
800,135.62779523294068
900,150.51260029341682
1000,165.10716392101705
1100,179.15441243492495
1200,192.61084215760235
1300,206.7299066306789
1400,219.42175901700134
1500,233.03279627130058
1600,245.48480244699613
1700,258.2477006302464
1800,270.6896504122419
1900,283.00593878318443
2000,295.01971532733353
2100,306.8157369853852
2200,318.759330404194
2300,329.82608573199207
2400,342.213983664828
2500,353.7708780861527
2600,365.11853033522476
2700,376.27357282598956
2800,387.3221794065911
2900,397.2791909978416
3000,408.0226913891088
3100,417.9236413281921
3200,428.6560118925916
3300,438.3409006832106
3400,447.33363582906105
3500,457.5590465225806
3600,466.59465983545635
3700,476.86548272214003
3800,485.29857811499414
3900,495.40793022041555
4000,503.64705414598694
4100,512.8863882604506
4200,521.4819206498862
4300,530.0060448412494
4400,538.0689635028051
4500,546.2503511621015
4600,554.9693672098905
4700,563.4779396723093
4800,571.2212799643404
4900,578.9622502229463
5000,586.5294146791078
5100,594.432109974408
5200,602.5609536338582
5300,610.098818507134
5400,618.1694325326409
5500,625.800253854685
5600,633.2460787943498
5700,640.6618912726683
5800,647.7022788496598
5900,655.4897569460454
6000,662.899394747201
6100,669.9435998265101
6200,677.0243267613175
6300,683.7434632886501
6400,690.8951493737719
6500,697.5306724540425
6600,704.0811100239055
6700,710.8410280485962
6800,717.8154600719425
6900,723.992109085391
7000,730.4365810385375
7100,737.3179750094603
7200,743.9786630105173
7300,751.3164545420898
7400,758.5541157283444
7500,764.8422425119383
7600,771.1735902809362
7700,777.7104337674879
7800,784.3967004462577
7900,790.6514626065416
8000,796.3999630009972
8100,801.9578214960525
8200,807.7329547390934
8300,814.0011143857294
8400,819.6786054127779
8500,825.5344204178584
8600,830.8947712661957
8700,836.051938264306
8800,842.1100132157105
8900,848.1227471680861
9000,854.0213584456884
9100,860.4125648911498
9200,866.4648768064808
9300,872.2418808040005
9400,878.1895531696824
9500,883.4074354248254
9600,889.085756828266
9700,895.1589662183311
9800,900.8276752667032
9900,906.3644271524932
10000,911.4449816839455
10100,916.8056085517825
10200,922.3926825940534
10300,927.2033306821911
10400,932.0607003305695
10500,937.2037502219782
10600,942.3629626229009
10700,948.4685036551176
10800,953.749331703801
10900,959.0112493154617
11000,964.0220864985034
11100,968.2989786249578
11200,973.340469844177
11300,978.2449746199827
11400,983.5720248913651
11500,988.3396109489579
11600,993.3814861909032
11700,998.7209029413095
11800,1004.3128280306015
11900,1009.0792847309642
12000,1014.8873769383579
12100,1019.3168188471433
12200,1024.6734270619586
12300,1029.549231343531
12400,1033.9639201413954
12500,1039.074220970507
12600,1044.141182810572
12700,1049.2064746106337
12800,1054.1180037459185
12900,1058.433846297624
13000,1062.3575665171143
13100,1067.2274402788212
13200,1072.1371825825902
13300,1076.1402684728068
13400,1080.5096079135837
13500,1085.3652000311872
13600,1089.6947874182306
13700,1095.0335002251627
13800,1099.155561953547
13900,1103.4435601712703
14000,1108.165461910015
14100,1113.2699068647787
14200,1116.9768791721028
14300,1120.8980670048054
14400,1125.5946866085446
14500,1130.1388583913117
14600,1133.788841491798
14700,1138.350336746181
14800,1142.4110366982409
14900,1146.3599073180199
15000,1149.9647058679475
15100,1154.5087789664908
15200,1158.288329193756
15300,1162.2370033680904
15400,1166.000625735106
15500,1170.2857623306613
15600,1174.7539870810829
15700,1179.0326222173753
15800,1183.2529009797804
15900,1187.8301413862957
16000,1192.099628630775
16100,1196.54910717274
16200,1200.6666311455028
16300,1203.9989700156161
16400,1208.4002789493381
16500,1212.465357930511
16600,1215.3608541301196
16700,1219.1402824988459
16800,1222.7832929613419
16900,1226.4619247401895
17000,1230.2206098637437
17100,1234.0074685101722
17200,1237.644199699798
17300,1241.0950737680278
17400,1244.9800041951614
17500,1248.9693249512459
17600,1252.1654299487914
17700,1255.6267592394843
17800,1259.112638902339
17900,1262.6242530482662
18000,1266.2449296328205
18100,1269.6411253898855
18200,1273.2011446358467
18300,1276.8258129827032
18400,1280.2437311769067
18500,1283.2531635650746
18600,1286.083974809955
18700,1290.3177071370121
18800,1293.7917413335197
18900,1297.2577892444606
19000,1301.2458820952634
19100,1304.7736926560312
19200,1307.9095086320522
19300,1310.4051441901722
19400,1313.7629983725192
19500,1317.7617993101135
19600,1321.730312817464
19700,1324.735881379784
19800,1328.1440286621355
19900,1331.8193878993686
20000,1335.8538803698452
20100,1339.5901086635254
20200,1342.5122446493706
20300,1345.098540217616
20400,1348.5564848979282
20500,1351.5847761551972
20600,1354.8714405721125
20700,1357.3620749331938
20800,1360.481964420885
20900,1364.4231449868869
21000,1366.9727168100328
21100,1370.2195085009848
21200,1373.9268730835345
21300,1377.4539088385532
21400,1380.3870065417354
21500,1384.0010958232265
21600,1387.7685319730974
21700,1390.4927537478047
21800,1393.4465081076983
21900,1396.7783008193553
22000,1400.0321781247135
22100,1402.8229797115268
22200,1405.3933155457603
22300,1408.8266106654269
22400,1411.2399546296326
22500,1414.8036189156644
22600,1417.600635341575
22700,1420.6153661370915
22800,1423.5736560876326
22900,1426.4404608940122
23000,1429.0427579925413
23100,1431.7077146592978
23200,1434.0768963407886
23300,1436.7255871220736
23400,1439.60307252756
23500,1442.5951449811005
23600,1444.9428469411341
23700,1447.8061171171619
23800,1451.3880532065948
23900,1453.5703488441538
24000,1456.6925030111142
24100,1459.1123145796332
24200,1462.088602286814
24300,1465.4132279841658
24400,1468.3360475116674
24500,1470.8461453243303
24600,1473.6290301041458
24700,1475.8215512801523
24800,1478.5553354783146
24900,1481.5076824038965
25000,1484.492590715026
25100,1487.4991763588132
25200,1489.9587195489469
25300,1492.3496288269237
25400,1494.749365934164
25500,1497.020667900942
25600,1499.9167291536082
25700,1501.9007814315087
25800,1504.5766768768913
25900,1506.8146141776779
26000,1509.1010964872394
26100,1512.5373019856736
26200,1515.3123299844478
26300,1517.8919045816288
26400,1520.5217301331415
26500,1523.2665175897612
26600,1526.158786877878
26700,1528.42617558255
26800,1530.7803247679071
26900,1532.8362500205938
27000,1535.3513029575224
27100,1537.3842695945486
27200,1540.491546408741
27300,1543.5138622220293
27400,1546.224181409692
27500,1549.1075816484893
27600,1551.8241576629057
27700,1554.5342952520482
27800,1556.7909909763275
27900,1558.044703599118
28000,1560.7605656751182
28100,1563.038642007331
28200,1565.7346807207982
28300,1567.9877272377114
28400,1570.3981469819914
28500,1572.3918732039688
28600,1574.4306618053936
28700,1576.5669605532353
28800,1578.2821212427252
28900,1580.4490664335174
29000,1583.116676075637
29100,1585.036480341795
29200,1587.3599648960512
29300,1589.4674303198676
29400,1592.1700180139003
29500,1594.7550073457364
29600,1596.828090629324
29700,1598.2783276851774
29800,1600.9158261210996
29900,1603.4146239406443
30000,1606.0584102586781
30100,1608.2346291784547
30200,1610.6482346660182
30300,1612.641564238525
30400,1614.8223201345186
30500,1617.5575639999038
30600,1620.210412550522
30700,1622.4031983295406
30800,1623.9111780117423
30900,1625.947826314323
31000,1627.9671749255153
31100,1630.2576098039467
31200,1632.6226743074271
31300,1634.6853733322328
31400,1637.1344360187463
31500,1638.8440647303207
31600,1641.5117136569584
31700,1643.611514286399
31800,1645.5272029235662
31900,1647.7086642579584
32000,1649.8086330926526
32100,1651.7441982583896
32200,1653.8330457201369
32300,1655.7562843570972
32400,1657.2701214501437
32500,1659.2233967817797
32600,1660.9562991685793
32700,1663.1436428322427
32800,1665.124587018889
32900,1667.0163472914733
33000,1668.8562201584791
33100,1670.4627409507161
33200,1672.3414415736484
33300,1674.6418336944462
33400,1676.9555617399685
33500,1678.8466536451087
33600,1680.6814868059541
33700,1682.1945717935855
33800,1683.7861551225317
33900,1685.9789832016916
34000,1687.9474856113225
34100,1689.7503942503959
34200,1691.0174868760375
34300,1692.0583146270303
34400,1693.999751044828
34500,1696.117980163205
34600,1697.7316254996877
34700,1699.4177239510777
34800,1701.0228823866041
34900,1702.8674666581403
35000,1704.253643272618
35100,1705.7075772334501
35200,1707.6577828930094
35300,1709.5349157881906
35400,1710.7338764851588
35500,1712.3042404598436
35600,1714.320601916847
35700,1716.7239858860128
35800,1719.3468911614589
35900,1721.0746948052124
36000,1723.2013656383206
36100,1724.9234261176741
36200,1726.0466103660815
36300,1727.3010885475226
36400,1728.9819147182357
36500,1730.5303301534343
36600,1732.5111325330872
36700,1733.6858174964223
36800,1735.331972137894
36900,1736.4532488232187
37000,1738.3157953000741
37100,1740.8938376008336
37200,1743.1128860331712
37300,1744.8040619990898
