Time(Iteration),EpsilonGreedyLinearBandit
0,0.3693214659119515
100,17.282598470923087
200,29.745977377271412
300,39.24401128286415
400,47.580675816333375
500,55.87689207368253
600,61.29232835027521
700,66.3714248889959
800,71.4894054034809
900,76.25690260621627
1000,80.94777245268173
1100,84.96082705627433
1200,89.39835566492371
1300,92.84858308887898
1400,96.58177878532864
1500,100.98200066503372
1600,105.4636933107053
1700,109.85264306765205
1800,113.53272329775703
1900,118.22912535014294
2000,122.67832712822262
2100,126.30338523254196
2200,129.98989098666237
2300,134.82610157153144
2400,138.66143755868998
2500,142.81537285184436
2600,146.29627739996928
2700,150.3005232587525
2800,154.4713640768139
2900,157.7554025941277
3000,162.15489588154378
3100,165.69827238572427
3200,169.7595130508603
3300,174.5884930786219
3400,179.041285007978
3500,182.41868530999665
3600,186.2048367095951
3700,190.3160416984046
3800,193.737657297976
3900,197.64453795735645
4000,201.12436320889958
4100,204.78295297474375
4200,208.26260137342788
4300,211.99955186429844
4400,216.1884357490309
4500,219.7933072471567
4600,223.41817318505414
4700,227.40959572116108
4800,231.2726263320581
4900,235.3332238253573
5000,239.0149080602601
5100,243.1608939209478
5200,247.12171107935427
5300,250.73499906810648
5400,254.73786416225067
5500,258.92977775187535
5600,262.7620083792164
5700,267.4872209013407
5800,270.94549511403164
5900,274.4297642866035
6000,278.99977286886576
6100,282.2809557414594
6200,286.4028167019919
6300,291.18258279705486
6400,294.7653252160893
6500,298.6888592546998
6600,302.0063971695884
6700,305.94115201560965
6800,309.97053433153496
6900,313.5168567960644
7000,317.38812642721746
7100,321.65570767005454
7200,326.4181199752879
7300,330.7238052212219
7400,334.51217664293426
7500,338.432639297428
7600,343.07554212389635
7700,347.854900511097
7800,352.38890631712104
7900,356.1138092036852
8000,359.6719827475655
8100,363.92400778248896
8200,368.48626252149586
8300,372.5033540122281
8400,376.3986491222232
8500,380.66474662061194
8600,384.8854035190214
8700,388.56467953427983
8800,391.6531069996039
8900,395.0771108551932
9000,398.5688039808628
9100,403.012821859047
9200,406.5981446334655
9300,410.63640984728227
9400,414.8449273327259
9500,418.6143515328896
9600,423.41959679382614
9700,427.1760452353892
9800,431.3868934597869
9900,435.35734351218116
10000,439.9881032297026
10100,444.1654201868422
10200,448.46298620221313
10300,452.4691788285389
10400,456.358664912957
10500,460.4774796913299
10600,464.6893096431011
10700,468.1617246954721
10800,473.14599928972314
10900,477.09552758023375
11000,481.5281318573333
11100,485.3481216726388
11200,489.1904414863714
11300,493.29175472401073
11400,497.22487581741035
11500,501.07274852417305
11600,505.0236675763278
11700,508.7574614304417
11800,512.5985515926699
11900,516.674578692782
12000,519.5078733469438
12100,522.9524946854074
12200,527.2196525365262
12300,531.4312631782052
12400,535.5914188058348
12500,539.7357339161994
12600,544.2182310052641
12700,547.8643482015872
12800,551.386074124873
12900,555.1597644946862
13000,559.1052306133563
13100,562.7839700634908
13200,566.3578211162164
13300,569.8729156145504
13400,573.8282343271111
13500,578.1287309017507
13600,581.3914748626136
13700,585.3338489925018
13800,589.8931911699746
13900,593.5518758613624
14000,597.3166943017404
14100,601.3037705056925
14200,605.4116812984544
14300,609.0429249862354
14400,613.4863726770811
14500,617.546918777695
14600,620.888566464336
14700,624.9706700564262
14800,629.133348481129
14900,632.8103449031876
15000,636.9058144311844
15100,640.2725482987751
15200,644.92232638919
15300,648.8220798310417
15400,652.2189647368529
15500,656.7443156963889
15600,660.3790587559481
15700,664.273351392768
15800,668.2731248605046
15900,672.2845040656805
16000,676.4367103486594
16100,680.0553943979323
16200,684.3729502350802
16300,688.5786789738556
16400,692.163628242017
16500,696.4107149764459
16600,700.5756260797126
16700,703.9150790333067
16800,708.3263793198671
16900,712.610618466874
17000,716.5956523378397
17100,720.6873057864794
17200,724.2816058647142
17300,728.2810845542548
17400,732.1923770880641
17500,735.6873734825455
17600,740.1342074227381
17700,745.0384033679538
17800,748.3480108344318
17900,752.7247484085947
18000,757.2907794906548
18100,761.1619329715048
18200,765.1967660584463
18300,768.5542930957629
18400,772.6561441999103
18500,776.1413264702094
18600,780.8829638767072
18700,785.1838872433735
