Time(Iteration),ThompsonSamplingGaussianMAB
0,0.40499530037302944
100,28.909020293046872
200,42.903520658489605
300,50.419796892172755
400,54.60268343863095
500,57.212888257607744
600,59.38549306851695
700,61.32498559145298
800,62.7976936074262
900,64.14529252256924
1000,65.48457893743905
1100,66.43588055225186
1200,66.94710605343894
1300,68.01171942947028
1400,68.53437733263722
1500,69.01385322784597
1600,69.35822204522694
1700,69.99284057335659
1800,70.52422046263892
1900,70.94950741077257
2000,71.49446518652925
2100,71.80048665942842
2200,72.00081994870958
2300,72.42817346271316
2400,72.84852393385333
2500,73.22449070319063
2600,73.62105875110461
2700,73.7656022819284
2800,74.02651713731754
2900,74.24051607386137
3000,74.64134972320232
3100,74.7973162788566
3200,75.03942677562337
3300,75.23199276361854
3400,75.52530238755658
3500,75.6862342828054
3600,75.87755553463208
3700,76.20585594267074
3800,76.27367108369421
3900,76.39197614689189
4000,76.54282308252817
4100,76.65291617802137
4200,76.79638665861248
4300,77.1365245853003
4400,77.33413119218912
4500,77.45365265492707
4600,77.64354163536697
4700,77.85941246255685
4800,77.97763266636876
4900,78.02218719454052
5000,78.19195398253605
5100,78.35918399645296
5200,78.55356432810967
5300,78.62466718566614
5400,78.73839295583983
5500,78.81672914937636
5600,78.88396355919367
5700,79.03616652656115
5800,79.15873444439251
5900,79.34018317765259
6000,79.48562265934626
6100,79.64906452553465
6200,79.78206810528191
6300,79.92978941309465
6400,80.01622503580974
6500,80.18442639770373
6600,80.21033205148015
6700,80.3352805320832
6800,80.37464699243058
6900,80.46681985559118
7000,80.58760532854737
7100,80.73840786828636
7200,80.8526330321886
7300,80.94050097580535
7400,81.10460825917585
7500,81.12725016021082
7600,81.31348391338517
7700,81.36623182235647
7800,81.48980630259857
7900,81.63486974125303
8000,81.64464637605666
8100,81.66479895006552
8200,81.78165245688834
8300,81.99850486389622
8400,82.15004630843619
8500,82.23073157951947
8600,82.30776924682914
8700,82.32058242565984
8800,82.34342014925656
8900,82.39129269329395
9000,82.45901243087863
9100,82.49644225993002
9200,82.57535629930423
9300,82.57745129247644
9400,82.6047896640015
9500,82.7156214441013
9600,82.72263842598024
9700,82.86002059503076
9800,82.91591776573088
9900,83.04183308485638
10000,83.05806319233645
10100,83.13372357325314
10200,83.18910703157393
10300,83.19664776174591
10400,83.22630840414834
10500,83.28753443193621
10600,83.35463811070898
10700,83.42667473777644
10800,83.48452512723807
10900,83.48722986909158
11000,83.59713612203686
11100,83.6859602747491
11200,83.71827324076813
11300,83.7293333059684
11400,83.88824231096959
11500,83.9119629723875
11600,84.02940106578788
11700,84.03097231066702
11800,84.19854623083586
11900,84.25608691022475
12000,84.36557897259625
12100,84.37895197411811
12200,84.44467588024166
12300,84.49432904758548
12400,84.51599615219646
12500,84.54823422506425
12600,84.55877064417868
12700,84.5613380430283
12800,84.59445608626496
