Time(Iteration),UCBBandit
0,0.44246445240682863
100,35.04960167088815
200,66.12360692975616
300,94.70766089645592
400,121.87419124915832
500,147.1860890360479
600,171.2633894041108
700,194.53795027699095
800,216.7867108625698
900,237.7880229895727
1000,258.4273691769479
1100,277.69013048374717
1200,296.2667491439781
1300,314.2570926714763
1400,331.70193298284653
1500,348.62916742495497
1600,364.62562902585387
1700,379.38492771930265
1800,394.54929315699263
1900,408.8572084438725
2000,422.18440782234046
2100,435.3888367318961
2200,447.86218263813254
2300,459.9252322233883
2400,472.465384261798
2500,483.3363522713181
2600,494.34724383222317
2700,505.05879505944404
2800,516.2918155511542
2900,525.8568452271993
3000,535.2044156501445
3100,545.3744911252026
3200,554.6086850490203
3300,564.4364596811431
3400,573.2851808632525
3500,582.3849418088054
3600,590.456935904883
3700,598.4380824219118
3800,606.5113326989942
3900,614.351201487087
4000,622.5647402065971
4100,630.1958262053182
4200,636.5299278021431
4300,644.6876496901945
4400,651.8842341635527
4500,659.0086595431021
4600,666.008142924422
4700,672.7839579601589
4800,679.9972786948341
4900,685.5006269268455
5000,691.9506320861137
5100,698.3226655159347
5200,703.9160564995009
5300,710.1761037230233
5400,716.114948113395
5500,722.6093079269781
5600,727.9338396599038
5700,733.6459902696641
5800,739.2376413448549
5900,744.5998835717339
6000,751.0405564844231
6100,755.5834388237016
6200,761.0110134286359
6300,766.0646713223107
6400,771.0170381816067
6500,775.8759358698055
6600,780.831177601423
6700,785.0514911619159
6800,789.4664537705894
6900,794.5416271216455
7000,798.65216622998
7100,803.1174129431556
7200,807.3310382190296
7300,811.9247548021438
7400,816.4288923802037
7500,820.0477554839287
7600,823.9300702608723
7700,828.4824896274433
7800,832.6730138599456
7900,837.2804569502089
8000,840.3798511352546
8100,844.108541784999
8200,848.346816987439
8300,852.0388637609915
8400,855.92011256712
8500,859.7228044287415
8600,863.9827116437676
8700,868.0365640899978
8800,871.1766007556437
8900,874.2470951306075
9000,878.320018509087
9100,881.9670530660242
9200,885.2099324781115
9300,888.9296174514122
9400,892.6022513284433
9500,895.8116942240661
9600,898.8926529752216
9700,902.0193519656568
9800,904.8480613529571
9900,908.5685782195362
10000,911.9264110144837
10100,915.0953183960177
10200,917.9071739952991
10300,921.0436079097102
10400,924.2374522768016
10500,927.038462812375
10600,929.8061228511815
10700,932.7912872874389
10800,935.4324269575621
10900,937.7116358072501
11000,941.0112254625261
11100,944.3993008204052
11200,947.4273969672895
11300,950.5754991912984
11400,952.8813484131764
11500,955.8605979221644
11600,958.9908871759386
11700,961.6206933673533
11800,964.2567303619184
11900,967.0592994222814
12000,969.7993322322261
12100,972.411608802225
12200,974.7922621561387
12300,976.9115251766495
12400,979.5736387370478
12500,981.5991537388347
12600,983.7144151993101
12700,985.6631992228206
12800,988.0904362971362
12900,991.1961874891731
13000,993.4408571595037
13100,995.8939995028583
13200,998.686229572424
13300,1001.0347259931887
13400,1002.5842563579647
13500,1004.128676992846
13600,1006.5302148354658
13700,1008.9952477068834
13800,1011.3361689465597
13900,1014.3765661620404
14000,1016.3447636244877
14100,1018.5989247568584
14200,1020.749988598026
14300,1022.8835538317005
14400,1025.1546013883628
14500,1027.395367658821
14600,1029.9245977240253
14700,1032.2409432599707
14800,1034.433123375113
14900,1036.558010057225
15000,1038.675978357539
15100,1040.4294545373946
15200,1042.1851022198757
15300,1044.1125719977042
15400,1046.4293937943014
15500,1048.4798091364255
15600,1050.799141140152
15700,1053.0754651571135
15800,1055.267298392507
15900,1056.8093323577186
16000,1059.1847421913767
16100,1060.8071116132053
16200,1062.4839219515275
16300,1063.9961808155535
16400,1065.591228615335
16500,1067.6214428648186
16600,1069.1559016107183
16700,1071.4915600690297
16800,1073.2375710890376
16900,1075.04775207162
17000,1077.0368861518496
17100,1078.8354447687923
17200,1080.2626898803617
17300,1081.884844295519
17400,1083.8266489399298
17500,1085.9992872212258
17600,1088.0072376764842
17700,1090.143661071169
17800,1091.6977418705433
17900,1092.9556251878673
18000,1094.733187050991
18100,1096.746669474611
18200,1098.831634504277
18300,1100.5603577755462
18400,1102.472201138548
18500,1104.0974245906987
18600,1105.9394173010305
18700,1107.8162634287694
18800,1109.5489681441186
18900,1111.297077503517
19000,1113.1641765599065
19100,1115.113376579207
19200,1116.7032700848056
19300,1118.350363719539
19400,1120.2032588499344
19500,1121.397694232913
19600,1122.99278433556
19700,1124.633195123412
19800,1126.1096460043514
19900,1127.8682726838072
20000,1129.4327349160467
20100,1131.0816375180395
20200,1132.8393397509442
20300,1134.0473997918884
20400,1135.8117332719448
20500,1137.3396991930804
20600,1139.2242604796568
20700,1140.2397806341814
20800,1141.698837510551
20900,1143.3839229128573
21000,1144.7683680573257
21100,1146.3059465814474
21200,1147.7700229163947
21300,1149.4565597547007
21400,1150.6334060969516
21500,1152.1587961099203
21600,1153.568096864563
21700,1155.3569150003816
21800,1156.9939904485086
21900,1158.9654571233373
22000,1160.1567871013985
22100,1161.7144717865413
22200,1162.8677103424643
22300,1164.1568002935473
22400,1165.736864843357
22500,1167.4138087208437
22600,1168.6444592115004
22700,1169.9918801895374
22800,1171.392462270837
22900,1172.872542013692
23000,1174.6359264332536
23100,1175.7627028936383
23200,1176.9277250982395
23300,1178.1624681748042
23400,1179.9772250546905
23500,1181.2174808608556
23600,1182.5189905730047
23700,1183.6882847924185
23800,1184.9622629571807
23900,1186.2906876161865
24000,1187.3710133489772
24100,1188.839128294678
24200,1190.3617132182248
24300,1191.620018699351
24400,1192.7125853755522
24500,1193.9339650726645
24600,1195.1507020707218
24700,1196.4875510382303
24800,1197.9156916068882
24900,1199.0768248434656
25000,1200.176672417466
25100,1201.5237380091523
25200,1202.6509637087331
25300,1203.6561464483825
25400,1205.3947082183518
25500,1206.5582959846379
25600,1208.4644790740572
25700,1209.4994241465433
25800,1210.7128679758487
25900,1211.6837566567651
26000,1213.0710521708322
26100,1214.0500978164605
26200,1215.5470984707215
26300,1217.0256752387515
26400,1218.2150218114489
26500,1219.5210820143254
26600,1220.6303359897577
26700,1222.0352363391585
26800,1223.3529520835616
26900,1224.722979272508
27000,1226.092763877197
27100,1227.4102447029645
27200,1228.8896222295637
27300,1230.0998240507806
27400,1230.8777287919752
27500,1232.1857463035808
27600,1233.201577109669
27700,1234.3719718825755
27800,1235.400674443831
27900,1236.5666147271315
28000,1237.8279268969384
28100,1239.0519133558396
28200,1240.1278907592175
28300,1241.0582692920955
28400,1241.9153877733147
28500,1243.2400716545349
28600,1244.1999344521266
28700,1245.514650310773
28800,1246.3378961441485
28900,1247.0778938205856
29000,1248.3812674904843
29100,1249.5883228515252
29200,1251.0760723862063
29300,1252.0475446049243
29400,1252.711367097449
29500,1254.3224140486702
29600,1255.3423698967454
29700,1256.2213259436471
29800,1257.281473638965
29900,1258.3749845626835
30000,1259.4773149884008
30100,1260.4146014346607
30200,1261.5925365587443
30300,1262.3636640378768
30400,1264.0292602533161
30500,1265.0602062500234
30600,1266.1916617528477
30700,1267.1216344481825
30800,1268.116308559204
30900,1269.1807224609067
31000,1270.224755698994
31100,1271.1883621227048
31200,1272.442855157112
31300,1273.409263445246
31400,1274.4980776656262
31500,1275.1633203857616
31600,1275.924225483056
31700,1277.2073697808314
31800,1278.4372529072466
31900,1278.9917132847618
32000,1280.197795294427
32100,1281.5011565381485
32200,1282.4164922181878
32300,1283.4637912005305
32400,1284.4460264513793
32500,1285.5423095879225
32600,1286.6804338653267
32700,1287.4931459368847
32800,1288.3780367962963
32900,1289.5065764330936
33000,1290.1018991950757
33100,1291.232217271305
33200,1292.3379744347296
33300,1293.1157524414673
33400,1294.0920568922497
33500,1295.3694014530888
33600,1295.9884173830492
33700,1297.0487158325177
33800,1297.8441620029848
33900,1299.1953396740787
34000,1299.8009166031597
34100,1300.9462084819565
34200,1301.6923965202757
34300,1302.2231322468801
34400,1302.920662843629
34500,1303.6943770996252
34600,1304.4126520080608
34700,1305.6347237646746
34800,1306.4344904541454
34900,1307.3126321402892
35000,1308.3292849588793
35100,1309.2425028256316
35200,1310.2184727575946
35300,1311.1154579920528
35400,1312.0201880396655
35500,1312.5981665779668
35600,1313.4264693110524
35700,1314.6109065070816
35800,1315.4845248181543
35900,1316.4162282019417
36000,1317.1824216243638
36100,1318.1107353639893
36200,1318.9563595744335
36300,1320.2972066426642
36400,1321.5192485439916
36500,1322.1677134278284
36600,1323.320345926318
36700,1324.1410511469503
36800,1325.191683059169
36900,1325.8310269403464
37000,1326.807460902864
37100,1327.7466573191534
37200,1328.6066588110966
37300,1329.1475989002442
37400,1330.221404843729
37500,1331.0124714790488
37600,1331.9088992052154
37700,1332.723522607342
37800,1333.152218023682
37900,1333.958502748784
38000,1334.841621276763
38100,1335.8242703676387
38200,1336.406077590223
38300,1337.040185016563
38400,1337.8082297846315
38500,1338.9360460683406
38600,1339.7995840072097
38700,1340.4927143289265
38800,1341.4922674066102
38900,1342.5255966625496
39000,1343.2379946896149
39100,1343.9803499718814
39200,1345.1387756047836
39300,1345.762362927587
39400,1346.8492526972582
39500,1347.817679584819
39600,1348.997513693221
39700,1349.7173174070608
39800,1350.6943561964322
39900,1351.3077187522692
40000,1352.3388158243943
40100,1353.264929251863
40200,1353.8120057805763
40300,1354.618229368673
40400,1355.4736874900752
40500,1356.3920232162895
40600,1356.904774850787
40700,1357.351767645706
40800,1358.0784209487833
40900,1359.2773748275308
41000,1360.0610670048507
41100,1360.6299925977294
41200,1361.6686201666673
41300,1362.7243216989777
41400,1363.8642786309808
41500,1364.4963599179964
41600,1365.3282250527332
41700,1366.261479442394
41800,1366.7176011305392
41900,1367.4332000682157
42000,1368.175242491179
42100,1368.9096560688436
42200,1369.577023071688
42300,1370.4102896834315
42400,1371.263152218175
42500,1371.9115076363812
42600,1372.8526636887323
42700,1373.436127622504
42800,1374.21023744479
42900,1374.914848497007
43000,1375.6554975572442
43100,1376.2904162771122
43200,1377.1236926149236
43300,1378.1806354598125
43400,1378.9489122600532
43500,1379.5880032329724
43600,1379.9609709429099
43700,1380.5401922898277
43800,1381.2262611071783
43900,1381.690119308785
44000,1382.244060811941
44100,1382.76770947889
44200,1383.4735369208393
44300,1384.3492707172663
44400,1385.1235065493931
44500,1385.6395578880145
44600,1386.0706770967565
44700,1386.6162754568002
44800,1387.4473327040746
44900,1388.1160663694066
45000,1389.1363130990194
45100,1389.9298798901732
45200,1390.4879059091052
45300,1391.01527674532
45400,1391.616662497115
45500,1392.525381322605
45600,1393.1557390434514
45700,1393.7764708883547
45800,1394.2921136141456
45900,1394.910895532036
46000,1395.2826821263777
46100,1395.9790590070845
46200,1397.0531365986258
46300,1397.5172962763054
46400,1398.404857474024
46500,1398.912430363947
46600,1399.5175525422312
46700,1400.1222612270462
46800,1401.2777050519455
46900,1402.1443560195416
47000,1402.678435299104
47100,1403.3325631544917
47200,1403.9310406189584
47300,1404.5852750624856
47400,1405.23751729052
47500,1406.1871630453556
47600,1406.75801181035
47700,1407.5909074028525
47800,1408.459105174375
47900,1408.8543003972195
48000,1409.3151135505143
48100,1409.688857895479
48200,1410.2355438102506
48300,1411.2240819691497
48400,1412.23041087539
48500,1412.781762162787
48600,1413.5295755447246
48700,1414.2263827890256
48800,1414.9148072027635
48900,1415.3117492944702
49000,1415.9810123303912
49100,1416.6646542703754
49200,1417.2259515988521
49300,1417.9540722203926
49400,1418.501315292256
49500,1419.4642942004511
49600,1419.8769822422532
49700,1420.6517103624922
49800,1421.3697590669422
49900,1421.908851030385
