Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9816875313896898
100,0.6579929618946478
200,0.5059164931471346
300,0.42638501370415793
400,0.3822884776282322
500,0.3248096955775161
600,0.3172265532278854
700,0.28784535905583264
800,0.27279762095457394
900,0.26648236747459075
1000,0.23841042724744735
1100,0.22841737204206444
1200,0.22267017263004646
1300,0.21670650088057397
1400,0.20636033180038393
1500,0.1972449574384366
1600,0.18916950453475595
1700,0.18060968116351664
1800,0.17552632593470868
1900,0.17031201380663688
2000,0.16590490651104353
2100,0.1675931903089716
2200,0.16889385301063012
2300,0.16477663904079193
2400,0.16169746756295325
2500,0.15928846654875153
2600,0.15933929685317477
2700,0.1573147297205934
2800,0.1566019088131549
2900,0.15562784588542605
3000,0.14994606365087537
3100,0.146198661972874
3200,0.14503986135959918
3300,0.14122559367161258
3400,0.13829513802497095
3500,0.1366244625607226
3600,0.13517430567278968
3700,0.13423298244809162
3800,0.13186971984290555
3900,0.13217747039957023
4000,0.13129242552502524
4100,0.12964779691052916
4200,0.1293747150381936
4300,0.12861482547731737
4400,0.13045189101808535
4500,0.128410231913698
4600,0.12669855132237923
4700,0.12327473807482674
4800,0.12349957406925358
4900,0.12336798136930005
5000,0.12272432974688055
5100,0.12055115336269966
5200,0.11996522492724895
5300,0.11876505935929796
5400,0.11891484956259632
5500,0.11778117290507528
5600,0.11752246969771932
5700,0.11756861249971459
5800,0.11690858714473354
5900,0.11557985022379595
6000,0.11568436411280077
6100,0.11529495930265214
6200,0.11443021760693042
6300,0.1143427522131244
6400,0.11136342832102253
6500,0.11036680228732391
6600,0.11094541646256753
6700,0.10901962303817159
6800,0.10826529063562795
6900,0.10654378637588886
7000,0.10589670486244165
7100,0.10505946982936161
7200,0.1047168267943341
7300,0.10426617935653318
7400,0.10448782652560498
7500,0.10329786288226761
7600,0.1018601466049642
7700,0.10165726431538243
7800,0.10119799070032427
7900,0.10079957020374972
8000,0.10117801224754093
8100,0.10043495408506467
8200,0.10014615715262562
8300,0.09927380924176717
8400,0.09845134703341199
8500,0.09781590523529306
