Time(Iteration),UCBBandit
0,0.4066825776341679
100,34.4695516628048
200,65.98047120271715
300,96.0777519551841
400,125.08345368181472
500,152.89486464297335
600,180.29616025703714
700,206.52995167343002
800,232.39222934941267
900,257.67040110011715
1000,282.3469467639324
1100,305.8459631788294
1200,329.2683249841814
1300,352.35206952931
1400,374.7766617964138
1500,396.07330269091176
1600,417.1667130819731
1700,438.67485718296183
1800,458.97912266437197
1900,479.0126905160988
2000,498.92522956183814
2100,517.8448174655299
2200,536.1616754288011
2300,554.9225271753628
2400,572.731552564139
2500,590.9580384458706
2600,608.3320460908195
2700,625.534276732101
2800,642.381599934489
2900,658.6891259131231
3000,674.9406148316265
3100,691.0724438379239
3200,707.333547916785
3300,722.7340056263042
3400,738.1267557200745
3500,753.2014064830676
3600,767.6741009095919
3700,782.3918720486824
3800,795.9756699933398
3900,809.57226343521
4000,823.7318572332413
4100,837.2785348959633
4200,850.927807710237
4300,864.0451895759481
4400,877.2879306258831
4500,889.9578826162317
4600,902.5921282223771
4700,914.7795370527259
4800,926.9106924948767
4900,939.1941745026008
5000,950.9637434126583
5100,962.8076310733508
5200,973.4943328312742
5300,985.242968684187
5400,996.5251288359938
5500,1007.9434520971048
5600,1018.9645502332125
5700,1029.6483152815945
5800,1040.7390242016686
5900,1051.0686631651256
6000,1061.6494029560915
6100,1071.6443067869627
6200,1082.0997061845744
6300,1091.8967499220385
6400,1102.3660551906164
6500,1112.6007660832574
6600,1122.0514641358727
6700,1131.381580032142
6800,1140.8613743233195
6900,1150.6166978043943
7000,1158.8656170357142
7100,1168.4463711929984
7200,1177.488204756733
7300,1186.5233195305823
7400,1195.19430904098
7500,1204.4134323403453
7600,1213.2725667451623
7700,1221.6814366318786
7800,1230.2330757384784
7900,1238.7152329389642
8000,1246.8840154954314
8100,1255.1601828618948
8200,1262.9700304618532
8300,1271.270623285707
8400,1278.35738752922
8500,1286.587822029423
8600,1294.4435220131777
8700,1302.4216054383746
8800,1310.540996317311
8900,1318.3120227493162
9000,1326.3639057393775
9100,1334.1400347054455
9200,1341.5730873200694
9300,1348.9710482371852
9400,1355.6829845898635
9500,1362.2683731760833
9600,1369.2451099829582
9700,1376.0957408023457
9800,1383.6369962378708
9900,1389.804894853004
10000,1396.4396866813597
10100,1404.1229975764397
10200,1410.7758292555666
10300,1417.1027345550583
10400,1423.517994066252
10500,1430.812391702307
10600,1437.0798350479413
10700,1443.5917524896006
10800,1450.2393564152349
10900,1456.6817644962944
11000,1463.3205744478319
11100,1469.1516498899186
11200,1475.8043518014929
11300,1482.0057281469603
11400,1487.029031262488
11500,1492.7852461273378
11600,1498.333816908787
11700,1504.882255051256
11800,1510.3368712277593
11900,1516.3342617673925
12000,1522.305864836579
12100,1527.9427587762177
12200,1533.5701072240508
12300,1540.0464837449
12400,1545.3870675310993
12500,1550.927242557978
12600,1556.8667996771896
12700,1562.643332473354
12800,1567.6117735005453
12900,1573.5126650158136
13000,1578.9755351565086
13100,1584.2125661102184
13200,1589.3597802038553
13300,1594.717442347203
13400,1599.326304073313
13500,1604.2252729963848
13600,1610.2607491309868
13700,1615.2096429465923
13800,1620.297636032595
13900,1625.3761344213513
14000,1630.3926984693896
14100,1635.0931176466734
14200,1640.7455424151387
14300,1645.6878753746034
14400,1650.3347945762125
14500,1655.0371066792
14600,1659.7499577098836
14700,1664.8609903524707
14800,1669.4750661065887
14900,1674.1567544233471
15000,1678.819306168456
15100,1683.8067585475378
15200,1688.3236844997605
15300,1693.0138600700507
15400,1697.8944114641004
15500,1702.7334235452224
15600,1707.0617675468736
15700,1711.3312717472504
15800,1715.8573482075094
15900,1720.0673357837077
16000,1724.5338108463238
16100,1728.7585693748904
16200,1732.910195994736
16300,1737.4505552595085
16400,1741.542106377207
16500,1745.64840478642
16600,1749.939559937661
16700,1754.1399209398264
16800,1757.7457375948525
16900,1762.3538875607978
17000,1766.0377333901822
17100,1770.1344981704801
17200,1773.72818644219
17300,1778.0643829665573
17400,1782.536934534814
17500,1786.3334073156013
17600,1789.650411073515
17700,1793.7471972157032
17800,1797.6322686570213
17900,1802.0767321212934
18000,1805.8083760315737
18100,1809.812287639592
18200,1813.6238962280318
18300,1816.792646351727
18400,1820.5575192073052
18500,1824.9063369305554
18600,1828.5914198744608
18700,1831.6973287029607
18800,1835.8099192130878
18900,1838.9624960634578
19000,1842.9778120997005
19100,1846.2513420300834
19200,1849.812003055012
19300,1852.989857052605
19400,1856.818143378488
19500,1860.773753288358
19600,1863.9057667706463
19700,1867.6954567679318
19800,1871.9158750800157
19900,1875.60519093858
20000,1879.1109566963119
20100,1882.5373888560766
20200,1886.817849618367
20300,1890.4915215845645
20400,1893.8323526524116
20500,1896.905993008805
20600,1900.2434879072862
20700,1902.9807374630302
20800,1906.4966330239254
20900,1910.2846227730654
21000,1914.2639845380213
21100,1917.5317041608093
21200,1920.6314670959916
21300,1923.9507252978597
21400,1927.8579163171955
21500,1930.9112477786716
21600,1933.6300603815264
21700,1937.1289565836705
21800,1940.3016545483417
21900,1943.6556603104636
22000,1946.9874964329524
22100,1950.4772520927804
22200,1953.3435539340292
22300,1956.6541854970765
22400,1959.438116294848
22500,1962.6366952371172
22600,1966.119597432568
22700,1969.7856129178867
22800,1972.8784794689432
22900,1975.7838464652439
23000,1978.5171791011223
23100,1981.6213376707776
23200,1984.9069805425456
23300,1988.1545030464124
23400,1991.1521755404397
23500,1993.9694186730217
23600,1997.282949264946
23700,2000.208198973825
23800,2002.850096513382
23900,2005.7758966056692
24000,2009.0617236070416
24100,2011.645660020633
24200,2014.0994988894913
24300,2017.8216196068279
24400,2020.7185781307471
24500,2023.7922025442506
24600,2027.0616668203675
24700,2030.1033717143714
24800,2032.583158870881
24900,2035.4918027133244
25000,2038.1370706692746
25100,2040.8866497142237
25200,2043.5569484185337
25300,2046.587479844151
25400,2049.5094311898056
25500,2051.9302646708275
25600,2054.705808177033
25700,2057.382239290878
25800,2060.8592794925107
25900,2063.600647319027
26000,2065.9587353806087
26100,2069.085104027102
26200,2071.963712662493
26300,2074.758429148541
26400,2076.9100308122183
26500,2079.398090912815
26600,2082.0148303254596
26700,2084.662737049438
26800,2087.370225698388
26900,2089.931174326581
27000,2092.07947745842
27100,2094.838506512598
27200,2097.5055753471966
27300,2100.33849252927
27400,2103.4038678427323
27500,2106.286548772409
27600,2108.5783648803517
27700,2111.472981856708
27800,2114.29195605368
27900,2117.3405895172054
28000,2119.8563383945448
28100,2122.3244736254064
28200,2125.3679624653673
28300,2127.916666843325
28400,2130.2305289281694
28500,2132.663233735088
28600,2135.0765029993227
28700,2137.5313951690523
28800,2139.445524452646
28900,2142.458969011739
29000,2145.0310548394223
29100,2147.001977544168
29200,2149.134563557535
29300,2151.5638575188373
29400,2154.1736857523483
29500,2157.180198652745
29600,2159.5638780992163
29700,2162.068782863117
29800,2164.6494131726695
29900,2167.3491201533066
30000,2169.729227499275
